id	item_group_id	title	description	price	sale_price	image_link	link	availability	product_type	brand	color	size	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4	catwalk_video	parent_sku	sales_count_10_days	vip_price	release_date	sales_count_conversions_10_days	half_price	aged_sale_price	sales_count_conversions_1_day	inventory_count
HD2354797-1690-83120	14388220	"Amora Heeled Sandal"	" Material: Faux Leather Heel Height: 3.25"" Measurements will vary slightly Closure: Slip On Imported "	$46.95	$9.24	https://us-cdn.justfab.com/media/images/products/HD2354797-1690/HD2354797-1690-2_589x860.jpg	https://www.justfab.ca/products/Amora-Slide-Heeled-Sandal-HD2354797-1690	"in stock"	"Fashion > Shoes > Sandals > Mule"	JustFab			4	16	"Amora Heeled Sandal"		"low performer"	https://us-cdn.justfab.com/media/video/products/HD2354797-1745/HD2354797-1745.mp4	HD2354797	16	$36.95	28/02/2023	4	$22.17	$	1	25
SK2354806-6444-83060	14388415	"Jeymi Low Top Sneaker"	" Material: Recycled Washed Canvas Heel Height: 1.25"" Measurements will vary slightly Closure: Adjustable Laces Imported "	$42.95	$8.24	https://us-cdn.justfab.com/media/images/products/SK2354806-6444/SK2354806-6444-2_589x860.jpg	https://www.justfab.ca/products/Jeymi-Low-Top-Sneaker-SK2354806-6444	"in stock"	"Fashion > Shoes > Sneakers > Low Top"	JustFab			4	38	"Jeymi Low Top Sneaker"		"mid performer"	https://us-cdn.justfab.com/media/video/products/SK2354806-6443/SK2354806-6443.mp4	SK2354806	38	$32.95	28/02/2023	4	$19.77	$	1	16
DA1932847-0204-83055	11811751	"Noura Heeled Sandal"	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Belongs to the JF Core collection—tried, tested & true. Material: Faux Leather Heel Height: 2.25"" Extra Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in E fit Measurements will vary slightly Imported "	$39.95	$7.49	https://us-cdn.justfab.com/media/images/products/DA1932847-0204/DA1932847-0204-2_589x860.jpg	https://www.justfab.ca/products/Noura-Heeled-Sandal-DA1932847-0204	"in stock"	"Fashion > Shoes > Sandals > Ankle Strap"	JustFab			3	7	"Noura Heeled Sandal"		"low performer"	https://us-cdn.justfab.com/media/video/products/DA1932847-0001/DA1932847-0001.mp4	DA1932847	7	$29.95	31/01/2023	3	$17.97	$	2	19
FA2148737-3347-83065	11931790	"Ava Minimalist Flat Sandal"	" Featured JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Suede Heel Height: 0.50"" Extra Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in E fit Measurements will vary slightly Imported "	$42.95	$8.24	https://us-cdn.justfab.com/media/images/products/FA2148737-3347/FA2148737-3347-2_589x860.jpg	https://www.justfab.ca/products/Ava-Minimalist-Flat-Sandal-FA2148737-3347	"in stock"	"Fashion > Shoes > Sandals > Thong + Flip Flop"	JustFab			3	19	"Ava Minimalist Flat Sandal"		"low performer"	https://us-cdn.justfab.com/media/video/products/FA2148737-3347/FA2148737-3347.mp4	FA2148737	19	$32.95	31/01/2023	3	$19.77	$	1	64
BS2150351-6236-83055	12341155	"Rainsford Classic Bootie"	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Suede Heel Height: 3.5"" Shaft Height (based on size 8): 10.0"" Measurements will vary slightly Imported "	$49.95	$9.99	https://us-cdn.justfab.com/media/images/products/BS2150351-6236/BS2150351-6236-2_589x860.jpg	https://www.justfab.ca/products/Rainsford-Classic-Bootie-BS2150351-6236	"in stock"	"Fashion > Shoes > Boots > Booties"	JustFab			3	6	"Rainsford Classic Bootie"		"low performer"	https://us-cdn.justfab.com/media/video/products/BS2150351-1780/BS2150351-1780.mp4	BS2150351	6	$39.95	28/11/2022	3	$23.97	$	0	1
FB2149873-1533-83100	12346777	"Demi Printed Riding Boot"	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Leather/ Faux Suede Heel Height: 1.0"" Shaft Height (based on size 8): 15.0"" Calf Circumference (based on size 8): 16.5"" Measurements will vary slightly Imported "	$52.95	$10.74	https://us-cdn.justfab.com/media/images/products/FB2149873-1533/FB2149873-1533-2_589x860.jpg	https://www.justfab.ca/products/Demi-Printed-Riding-Boot-FB2149873-1533	"in stock"	"Fashion > Shoes > Boots > Riding"	JustFab			3	4	"Demi Printed Riding Boot"		"low performer"	https://us-cdn.justfab.com/media/video/products/FB2149873-2820/FB2149873-2820.mp4	FB2149873	4	$42.95	28/11/2022	3	$25.77	$	0	23
CW2150169-1530-83080	12534265	"Amy Lace-Up Duck Boot"	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Textile Heel Height: 1.25"" Shaft Height (based on size 8): 6.25"" Calf Circumference (based on size 8): 16.5"" Measurements will vary slightly Imported "	$54.95	$11.24	https://us-cdn.justfab.com/media/images/products/CW2150169-1530/CW2150169-1530-2_589x860.jpg	https://www.justfab.ca/products/Amy-Lace-Up-Duck-Boot-CW2150169-1530	"in stock"	"Fashion > Shoes > Boots > Snow"	JustFab			3	7	"Amy Lace-Up Duck Boot"		"low performer"	https://us-cdn.justfab.com/media/video/products/CW2150169-1533/CW2150169-1533.mp4	CW2150169	7	$44.95	12/10/2022	3	$26.97	$	1	53
DA2251488-1429-83095	12960628	"Aurora Tall Gladiator Sandal"	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Leather Heel Height: 2.0"" Shaft Height (based on size 8): 9.75"" Extra Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in E fit Measurements will vary slightly Imported "	$64.95	$12.49	https://us-cdn.justfab.com/media/images/products/DA2251488-1429/DA2251488-1429-2_589x860.jpg	https://www.justfab.ca/products/Aurora-Tall-Gladiator-Sandal-DA2251488-1429	"in stock"	"Fashion > Shoes > Sandals > Gladiator"	JustFab			3	5	"Aurora Tall Gladiator Sandal"		"low performer"	https://us-cdn.justfab.com/media/video/products/DA2251488-2600/DA2251488-2600.mp4	DA2251488	5	$49.95	25/03/2022	3	$29.97	$	1	3
SK2149129-2400-55410	13391689	"Ximena Sneaker"	" Features JF Form Foam - Twice the thickness of a standard foam insole, with optimal rebound so the sole never flattens and you always feel supported. Material: Faux Leather Heel Height: 2.75"" Measurements will vary slightly Imported "	$52.95	$10.74	https://us-cdn.justfab.com/media/images/products/SK2149129-2400/SK2149129-2400-2_589x860.jpg	https://www.justfab.ca/products/Ximena-Sneaker-SK2149129-2400	"in stock"	"Fashion > Shoes > Sneakers > Active"	JustFab			3	13	"Ximena Sneaker"		"low performer"	https://us-cdn.justfab.com/media/video/products/SK2149129-1010/SK2149129-1010.mp4	SK2149129	13	$42.95	27/02/2023	3	$25.77	$	1	26
BS2146893-1010-84120	13584865	"Tanzi Lug Sole Boot"	" Dream Sole – Double the padding for comfort, support, and ease of movement Material: Faux Leather Heel Height: 2.25"" Shaft Height (based on size 8): 5.5"" Measurements will vary slightly Imported "	$54.95	$11.24	https://us-cdn.justfab.com/media/images/products/BS2146893-1010/BS2146893-1010-2_589x860.jpg	https://www.justfab.ca/products/Tanzi-Lug-Sole-Bootie-BS2146893-1010	"in stock"	"Fashion > Shoes > Boots > Combat"	JustFab			3	9	"Tanzi Lug Sole Boot"		"low performer"	https://us-cdn.justfab.com/media/video/products/BS2148097-0001/BS2148097-0001.mp4	BS2146893	9	$44.95	22/07/2022	3	$26.97	$	0	14
