id	item_group_id	title	description	price	sale_price	image_link	additional_image_link	link	availability	product_type	google_product_category	condition	mpn	brand	color	size	gender	age_group	custom_label_2	parent_sku	vip_price	sales_count_conversions_10_days	sales_count_10_days	half_price	aged_saleprice	imagecrawler_http	release_date	inventory_count	inventory2	sales_count_conversions_1_day	additional_image_link_2	additional_image_link_3	additional_image_link_4	low_stock	product_sku
PO2356506-2924-99250	16546361	"Soft Sweater Tank"	"Pair it with the Soft Longline Cardigan With Slit as a set."	$22.95	$5.74	https://static3.sd-assets.com/assets/images/001/358/271/Soft-Sweater-Tank-PO2356506-2924_C_Content1-original.jpg	https://static3.sd-assets.com/assets/images/001/358/271/Soft-Sweater-Tank-PO2356506-2924_C_Content1-original.jpg	https://www.shoedazzle.com/products/Soft-Sweater-Tank-PO2356506-2924	"in stock"	"Fashion > Clothing > Tops > Camisole"	212	new	PO2356506-2924-99250	ShoeDazzle	"Oatmeal Heather"	XXL	female		"Soft Sweater Tank"	PO2356506-2924	$22.95	2	21	$11.48	$9.18		07/27/2023	265	34	0	https://static3.sd-assets.com/assets/images/001/358/886/Soft-Sweater-Tank-PO2356506-2924_A_front-hero-original.jpg	https://static3.sd-assets.com/assets/images/001/358/986/Soft-Sweater-Tank-PO2356506-2924_E_Model-original.jpg			PO2356506-2924
CL2356954-3152-99250	16546536	"Snatched Bustier Mini Dress"		$39.95	$9.99	https://static3.sd-assets.com/assets/images/001/358/491/Snatched-Bustier-Mini-Dress-CL2356954-3152_B_Back-original.jpg	https://static3.sd-assets.com/assets/images/001/358/491/Snatched-Bustier-Mini-Dress-CL2356954-3152_B_Back-original.jpg	https://www.shoedazzle.com/products/Snatched-Bustier-Mini-Dress-CL2356954-3152	"in stock"	"Fashion > Clothing > Dresses > Bodycon"	2271	new	CL2356954-3152-99250	ShoeDazzle	"Green Camo Multi"	XXL	female		"Snatched Bustier Mini Dress"	CL2356954-3152	$39.95	2	37	$19.98	$15.98		07/28/2023	346	41	0	https://static3.sd-assets.com/assets/images/001/358/126/Snatched-Bustier-Mini-Dress-CL2356954-3152_E_Model-original.jpg	https://static3.sd-assets.com/assets/images/001/359/191/Snatched-Bustier-Mini-Dress-CL2356954-3152_C_Content1-original.jpg			CL2356954-3152
SH2356527-8249-26340	16546666	"Billie Mid Rise Straight Leg Jean"		$49.95	$12.49	https://static3.sd-assets.com/assets/images/001/358/541/Billie-Mid-Rise-Straight-Leg-Jean-SH2356527-8249_B_Back-original.jpg	https://static3.sd-assets.com/assets/images/001/358/541/Billie-Mid-Rise-Straight-Leg-Jean-SH2356527-8249_B_Back-original.jpg	https://www.shoedazzle.com/products/Billie-Mid-Rise-Straight-Leg-Jean-SH2356527-8249	"in stock"	"Fashion > Clothing > Denim > Straight"	204	new	SH2356527-8249-26340	ShoeDazzle	Dynamic	34	female		"Billie Mid Rise Straight Leg Jean"	SH2356527-8249	$49.95	2	13	$24.98	$19.98		07/27/2023	303	25	1	https://static3.sd-assets.com/assets/images/001/358/296/Billie-Mid-Rise-Straight-Leg-Jean-SH2356527-8249_E_Model-original.jpg	https://static3.sd-assets.com/assets/images/001/358/626/Billie-Mid-Rise-Straight-Leg-Jean-SH2356527-8249_C_Content1-original.jpg			SH2356527-8249
CA2356528-8248-99250	16546726	"Distressed Denim Mini Shirtdress"		$59.95	$14.99	https://static3.sd-assets.com/assets/images/001/358/156/Distressed-Denim-Mini-Shirtdress-CA2356528-8248_E_Model-original.jpg	https://static3.sd-assets.com/assets/images/001/358/156/Distressed-Denim-Mini-Shirtdress-CA2356528-8248_E_Model-original.jpg	https://www.shoedazzle.com/products/Distressed-Denim-Mini-Shirtdress-CA2356528-8248	"in stock"	"Fashion > Clothing > Dresses > Shirt"	5598	new	CA2356528-8248-99250	ShoeDazzle	Mascara	XXL	female		"Distressed Denim Mini Shirtdress"	CA2356528-8248	$59.95	2	65	$29.98	$23.98		07/28/2023	236	39	1	https://static3.sd-assets.com/assets/images/001/358/536/Distressed-Denim-Mini-Shirtdress-CA2356528-8248_A_front-hero-original.jpg	https://static3.sd-assets.com/assets/images/001/358/066/Distressed-Denim-Mini-Shirtdress-CA2356528-8248_C_Content1-original.jpg	https://static3.sd-assets.com/assets/images/001/366/136/Distressed-Denim-Mini-Shirtdress-CA2356528-8248_E_CONTENT3-original.jpg	"LOW IN STOCK"	CA2356528-8248
MC2357327-0001-44060	16679956	"Regardless Satin Teddy Romper"	"Flirty and fabulous, this retro-styled teddy is created in DORINA ECO satin. Featuring smooth satin cups, softly gathered underneath to meet a corset-styled bodice with a gathered V-shaped waistline and concealed side zip. Smooth satin spaghetti straps, fluttery wide legs and clean lines complete the look."	$34.95	$8.74	https://static3.sd-assets.com/assets/images/001/360/131/Regardless-Satin-Teddy-Romper-MC2357327-0001_B_BACK-original.jpg	https://static3.sd-assets.com/assets/images/001/360/131/Regardless-Satin-Teddy-Romper-MC2357327-0001_B_BACK-original.jpg	https://www.shoedazzle.com/products/Regardless-Satin-Teddy-Romper-MC2357327-0001	"out of stock"	"Fashion > Clothing > Jumpsuits & Rompers > Romper"	5250	new	MC2357327-0001-44060	ShoeDazzle	Black	XXL	female		"Regardless Satin Teddy Romper"	MC2357327-0001	$34.95	2	6	$17.48	$13.98		07/27/2023	32	0	0	https://static3.sd-assets.com/assets/images/001/360/126/Regardless-Satin-Teddy-Romper-MC2357327-0001_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/360/136/Regardless-Satin-Teddy-Romper-MC2357327-0001_E_CONTENT1-original.jpg		"LOW IN STOCK"	MC2357327-0001
MC2357042-1420-44060	16679991	"Regardless Satin Teddy Romper"	"Flirty and fabulous, this retro-styled teddy is created in DORINA ECO satin. Featuring smooth satin cups, softly gathered underneath to meet a corset-styled bodice with a gathered V-shaped waistline and concealed side zip. Smooth satin spaghetti straps, fluttery wide legs and clean lines complete the look."	$34.95	$8.74	https://static3.sd-assets.com/assets/images/001/354/726/Regardless-Satin-Teddy-Romper-MC2357042-1420_B_BACK-original.jpg	https://static3.sd-assets.com/assets/images/001/354/726/Regardless-Satin-Teddy-Romper-MC2357042-1420_B_BACK-original.jpg	https://www.shoedazzle.com/products/Regardless-Satin-Teddy-Romper-MC2357042-1420	"out of stock"	"Fashion > Clothing > Jumpsuits & Rompers > Romper"	5250	new	MC2357042-1420-44060	ShoeDazzle	Ivory	XXL	female		"Regardless Satin Teddy Romper"	MC2357042-1420	$34.95	2	5	$17.48	$13.98		07/27/2023	57	0	0	https://static3.sd-assets.com/assets/images/001/354/481/Regardless-Satin-Teddy-Romper-MC2357042-1420_E_CONTENT1-original.jpg	https://static3.sd-assets.com/assets/images/001/354/796/Regardless-Satin-Teddy-Romper-MC2357042-1420_E_MODEL-original.jpg		"LOW IN STOCK"	MC2357042-1420
PO2356912-0687-44060	16685946	"Henley Sweater"		$44.95	$11.24	https://static3.sd-assets.com/assets/images/001/363/851/Henley-Sweater-PO2356912-0687_B_Back-original.jpg	https://static3.sd-assets.com/assets/images/001/363/851/Henley-Sweater-PO2356912-0687_B_Back-original.jpg	https://www.shoedazzle.com/products/Henley-Sweater-PO2356912-0687	"in stock"	"Fashion > Clothing > Tops > Button Down"	212	new	PO2356912-0687-44060	ShoeDazzle	"Black Caviar"	XXL	female		"Henley Sweater"	PO2356912-0687	$44.95	2	25	$22.48	$17.98		07/28/2023	142	11	0	https://static3.sd-assets.com/assets/images/001/363/831/Henley-Sweater-PO2356912-0687_E_Model-original.jpg	https://static3.sd-assets.com/assets/images/001/363/881/Henley-Sweater-PO2356912-0687_C_Content1-original.jpg		"LOW IN STOCK"	PO2356912-0687
CA2356511-8241-44060	16686191	"Tummy Tamer Halter Rib Maxi Dress"		$49.95	$12.49	https://static3.sd-assets.com/assets/images/001/364/086/Tummy-Tamer-Halter-Rib-Maxi-Dress-CA2356511-8241_E_Model-original.jpg	https://static3.sd-assets.com/assets/images/001/364/086/Tummy-Tamer-Halter-Rib-Maxi-Dress-CA2356511-8241_E_Model-original.jpg	https://www.shoedazzle.com/products/Tummy-Tamer-Halter-Rib-Maxi-Dress-CA2356511-8241	"in stock"	"Fashion > Clothing > Dresses > Maxi"	2271	new	CA2356511-8241-44060	ShoeDazzle	"Bitter Chocolate"	XXL	female		"Tummy Tamer Halter Rib Maxi Dress"	CA2356511-8241	$49.95	2	27	$24.98	$19.98		07/28/2023	20	2	0	https://static3.sd-assets.com/assets/images/001/363/981/Tummy-Tamer-Halter-Rib-Maxi-Dress-CA2356511-8241_B_Back-original.jpg	https://static3.sd-assets.com/assets/images/001/363/841/Tummy-Tamer-Halter-Rib-Maxi-Dress-CA2356511-8241_A_Front-hero-original.jpg		"LOW IN STOCK"	CA2356511-8241
FW2356520-8245-79100	16686451	"Blair High Rise Tummy Tamer Slit Flare"		$49.95	$12.49	https://static3.sd-assets.com/assets/images/001/359/411/Blair-High-Rise-Tummy-Tamer-Slit-Flare-FW2356520-8245_B_Back-original.jpg	https://static3.sd-assets.com/assets/images/001/359/411/Blair-High-Rise-Tummy-Tamer-Slit-Flare-FW2356520-8245_B_Back-original.jpg	https://www.shoedazzle.com/products/Blair-High-Rise-Tummy-Tamer-Slit-Flare-FW2356520-8245	"in stock"	"Fashion > Clothing > Denim > Flare & Wide Leg"	204	new	FW2356520-8245-79100	ShoeDazzle	Century	34	female		"Blair High Rise Tummy Tamer Slit Flare"	FW2356520-8245	$49.95	2	18	$24.98	$19.98		07/27/2023	346	31	0	https://static3.sd-assets.com/assets/images/001/359/451/Blair-High-Rise-Tummy-Tamer-Slit-Flare-FW2356520-8245_C_Content2-original.jpg	https://static3.sd-assets.com/assets/images/001/359/406/Blair-High-Rise-Tummy-Tamer-Slit-Flare-FW2356520-8245_E_Model-original.jpg	https://static3.sd-assets.com/assets/images/001/359/396/Blair-High-Rise-Tummy-Tamer-Slit-Flare-FW2356520-8245_C_Content1-original.jpg		FW2356520-8245
WT2147948-1090-44060	16686876	"Oversized Men's Shirt"		$39.95	$9.99	https://static3.sd-assets.com/assets/images/001/375/261/Oversized-Mens-Shirt-WT2147948-1090_B_BACK-original.jpg	https://static3.sd-assets.com/assets/images/001/375/261/Oversized-Mens-Shirt-WT2147948-1090_B_BACK-original.jpg	https://www.shoedazzle.com/products/Oversized-Mens-Shirt-WT2147948-1090	"in stock"	"Fashion > Clothing > Tops > Button Down"	212	new	WT2147948-1090-44060	ShoeDazzle	"Bright White"	XXL	female		"Oversized Men's Shirt"	WT2147948-1090	$39.95	2	26	$19.98	$15.98		08/15/2023	917	86	0	https://static3.sd-assets.com/assets/images/001/375/246/Oversized-Mens-Shirt-WT2147948-1090_E_CONTENT5-original.jpg	https://static3.sd-assets.com/assets/images/001/375/256/Oversized-Mens-Shirt-WT2147948-1090_E_MODEL-original.jpg	https://static3.sd-assets.com/assets/images/001/366/311/Oversized-Mens-Shirt-WT2147948-1090_E_CONTENT2-original.jpg		WT2147948-1090
