id	item_group_id	title	description	price	image_link	additional_image_link	link	availability	product_type	google_product_category	condition	mpn	brand	color	size	gender	age_group	material	pattern	custom_label_2	additional_image_link_0	additional_image_link_1	additional_image_link_3	additional_image_link_4	inventory_count	additional_image_link_2	is_bundle	sales_count_conversions_10_days	release_date
BB2149740-2516-15130	12813904	"Forever Savage Bralette"	"Show them how savage you are in our logo bralette. Made from ultra-soft cotton and elastane, this savage essential features a U-back with a rose gold Savage X band."	$22.95	https://cdn.savagex.com/media/images/products/BB2149740-2516/FOREVER-SAVAGE-BRALETTE-BB2149740-2516-1-600x800.jpg		https://www.savagex.com/shop/product-12813904	"in stock"	"Fashion > Apparel > Intimates > Bra > Bralette"	214	new	BB2149740-2516-15130	"Savage X Fenty"	Black	4X	female	adult	Cotton		"Forever Savage Bralette"		https://cdn.savagex.com/media/images/products/BB2149740-2516/FOREVER-SAVAGE-BRALETTE-BB2149740-2516-2-600x800.jpg	https://cdn.savagex.com/media/images/products/BB2149740-2516/FOREVER-SAVAGE-BRALETTE-BB2149740-2516-3-600x800.jpg		17673	https://cdn.savagex.com/media/images/products/BB2149740-2516/FOREVER-SAVAGE-BRALETTE-BB2149740-2516-laydown-600x800.jpg	No	63	08/01/2022
BA1934997-0001-14285	8912914	"Flocked Logo Unlined Bra"	"This unlined bra is made from our Xclusive flocked logo fabric and features a rose gold tone X charm at center front"	$34.95	https://cdn.savagex.com/media/images/products/BA1934997-0001/FLOCKED-LOGO-UNLINED-BRA-BA1934997-0001-1-600x800.jpg		https://www.savagex.com/shop/product-8912914	"in stock"	"Fashion > Apparel > Intimates > Bra > Unlined"	214	new	BA1934997-0001-14285	"Savage X Fenty"	Black	36DDD	female	adult	Mesh		"Flocked Logo Unlined Bra"		https://cdn.savagex.com/media/images/products/BA1934997-0001/FLOCKED-LOGO-UNLINED-BRA-BA1934997-0001-2-600x800.jpg	https://cdn.savagex.com/media/images/products/BA1934997-0001/FLOCKED-LOGO-UNLINED-BRA-BA1934997-0001-3-600x800.jpg	https://cdn.savagex.com/media/images/products/BA1934997-0001/FLOCKED-LOGO-UNLINED-BRA-BA1934997-0001-4-600x800.jpg	17086	https://cdn.savagex.com/media/images/products/BA1934997-0001/FLOCKED-LOGO-UNLINED-BRA-BA1934997-0001-laydown-600x800.jpg	No	339	06/02/2023
BA2038978-9011-14285	10186246	"Core Microfiber Strapless Bra"	"Our Core Microfiber Strapless Bra is now made with high shine microfiber and has a rose gold tone X charm at center front with the same comfort and fit as our beloved original."	$44.95	https://cdn.savagex.com/media/images/products/BA2038978-9011/CORE-MICROFIBER-STRAPLESS-BRA-BA2038978-9011-1-600x800.jpg		https://www.savagex.com/shop/product-10186246	"out of stock"	"Fashion > Apparel > Intimates > Bra > Strapless"	214	new	BA2038978-9011-14285	"Savage X Fenty"	Beige/Brown	36DDD	female	adult	Microfiber		"Core Microfiber Strapless Bra"					16020	https://cdn.savagex.com/media/images/products/BA2038978-9011/CORE-MICROFIBER-STRAPLESS-BRA-BA2038978-9011-laydown-600x800.jpg	No	196	07/11/2022
BA2146979-5210-14938	11517463	"Floral Lace Unlined Bra"	"An eco-friendly fabric update to our bestselling bra! Our Floral Lace Unlined Bra features floral lace made with 40% REPREVE recycled fibers with the same soft feel and look as our original. "	$34.95	https://cdn.savagex.com/media/images/products/BA2146979-5210/FLORAL-LACE-UNLINED-BRA-BA2146979-5210-1-600x800.jpg		https://www.savagex.com/shop/product-11517463	"in stock"	"Fashion > Apparel > Intimates > Bra > Unlined"	214	new	BA2146979-5210-14938	"Savage X Fenty"	Purple	42H	female	adult	Lace		"Floral Lace Unlined Bra"		https://cdn.savagex.com/media/images/products/BA2146979-5210/FLORAL-LACE-UNLINED-BRA-BA2146979-5210-2-600x800.jpg	https://cdn.savagex.com/media/images/products/BA2146979-5210/FLORAL-LACE-UNLINED-BRA-BA2146979-5210-3-600x800.jpg	https://cdn.savagex.com/media/images/products/BA2146979-5210/FLORAL-LACE-UNLINED-BRA-BA2146979-5210-4-600x800.jpg	15426	https://cdn.savagex.com/media/images/products/BA2146979-5210/FLORAL-LACE-UNLINED-BRA-BA2146979-5210-laydown-600x800.jpg	No	102	12/10/2022
BB2252364-0687-57050	13763326	"Savage Not Sorry Bralette"	"Our Savage Not Sorry Bralette features soft, unlined lace fabric and adjustable supportive straps. "	$24.95	https://cdn.savagex.com/media/images/products/BB2252364-0687/SAVAGE-NOT-SORRY-BRALETTE-BB2252364-0687-1-600x800.jpg		https://www.savagex.com/shop/product-13763326	"in stock"	"Fashion > Apparel > Intimates > Bra > Bralette"	214	new	BB2252364-0687-57050	"Savage X Fenty"	Black	XL	female	adult	Cotton		"Savage Not Sorry Bralette"		https://cdn.savagex.com/media/images/products/BB2252364-0687/SAVAGE-NOT-SORRY-BRALETTE-BB2252364-0687-2-600x800.jpg	https://cdn.savagex.com/media/images/products/BB2252364-0687/SAVAGE-NOT-SORRY-BRALETTE-BB2252364-0687-3-600x800.jpg		15406	https://cdn.savagex.com/media/images/products/BB2252364-0687/SAVAGE-NOT-SORRY-BRALETTE-BB2252364-0687-laydown-600x800.jpg	No	73	01/12/2022
BB2147016-0687-15130	11516959	"Floral Lace & Mesh Bralette"	"An eco-friendly fabric update to our bestselling bralette! Our Floral Lace & Mesh Bralette features floral lace made with 40% REPREVE recycled fibers with the same soft feel and look as our original. "	$24.95	https://cdn.savagex.com/media/images/products/BB2147016-0687/FLORAL-LACE-AND-MESH-BRALETTE-BB2147016-0687-1-600x800.jpg		https://www.savagex.com/shop/product-11516959	"in stock"	"Fashion > Apparel > Intimates > Bra > Bralette"	214	new	BB2147016-0687-15130	"Savage X Fenty"	Black	4X	female	adult	Lace/Mesh		"Floral Lace & Mesh Bralette"		https://cdn.savagex.com/media/images/products/BB2147016-0687/FLORAL-LACE-AND-MESH-BRALETTE-BB2147016-0687-2-600x800.jpg	https://cdn.savagex.com/media/images/products/BB2147016-0687/FLORAL-LACE-AND-MESH-BRALETTE-BB2147016-0687-3-600x800.jpg	https://cdn.savagex.com/media/images/products/BB2147016-0687/FLORAL-LACE-AND-MESH-BRALETTE-BB2147016-0687-4-600x800.jpg	14915	https://cdn.savagex.com/media/images/products/BB2147016-0687/FLORAL-LACE-AND-MESH-BRALETTE-BB2147016-0687-laydown-600x800.jpg	No	47	12/10/2022
UW2044380-0687-15000	10726918	"Savage X Trunks"	"Our Savage X Boxer Trunks with Iridescent Logo Waistband provide the right fit for all bodies and feature our signature logo waistband and contoured front pouch for all-day comfort and support. "	$12.95	https://cdn.savagex.com/media/images/products/UW2044380-0687/SAVAGE-X-TRUNKS-UW2044380-0687-1-600x800.jpg		https://www.savagex.com/shop/product-10726918	"in stock"	"Fashion > Apparel > Intimates > Unisex"	2562	new	UW2044380-0687-15000	"Savage X Fenty"	Black	XS	female	adult	Cotton		"Savage X Trunks"		https://cdn.savagex.com/media/images/products/UW2044380-0687/SAVAGE-X-TRUNKS-UW2044380-0687-2-600x800.jpg	https://cdn.savagex.com/media/images/products/UW2044380-0687/SAVAGE-X-TRUNKS-UW2044380-0687-3-600x800.jpg		14410	https://cdn.savagex.com/media/images/products/UW2044380-0687/SAVAGE-X-TRUNKS-UW2044380-0687-laydown-600x800.jpg	No	30	31/10/2022
BA2042991-0687-14938	10725295	"Savage Not Sorry Unlined Lace Balconette Bra"	"Our Savage Not Sorry Unlined Lace Balconette Bra features no lining and new Savage custom-designed stretch floral lace. "	$44.95	https://cdn.savagex.com/media/images/products/BA2042991-0687/SAVAGE-NOT-SORRY-UNLINED-LACE-BALCONETTE-BRA-BA2042991-0687-1-600x800.jpg		https://www.savagex.com/shop/product-10725295	"out of stock"	"Fashion > Apparel > Intimates > Bra > Unlined"	214	new	BA2042991-0687-14938	"Savage X Fenty"	Black	42H	female	adult	Lace		"Savage Not Sorry Unlined Lace Balconette Bra"					14372	https://cdn.savagex.com/media/images/products/BA2042991-0687/SAVAGE-NOT-SORRY-UNLINED-LACE-BALCONETTE-BRA-BA2042991-0687-laydown-600x800.jpg	No	292	14/09/2022
BB2149734-0687-57050	12452614	"Forever Savage Bralette"	"Show them how Savage you are in our logo bralette. Made from ultra-soft cotton and elastane, this everyday essential features a U-back with a Savage X band."	$22.95	https://cdn.savagex.com/media/images/products/BB2149734-0687/FOREVER-SAVAGE-BRALETTE-BB2149734-0687-1-600x800.jpg		https://www.savagex.com/shop/product-12452614	"out of stock"	"Fashion > Apparel > Intimates > Bra > Bralette"	214	new	BB2149734-0687-57050	"Savage X Fenty"	Black	XL	female	adult	Knit		"Forever Savage Bralette"		https://cdn.savagex.com/media/images/products/BB2149734-0687/FOREVER-SAVAGE-BRALETTE-BB2149734-0687-2-600x800.jpg	https://cdn.savagex.com/media/images/products/BB2149734-0687/FOREVER-SAVAGE-BRALETTE-BB2149734-0687-3-600x800.jpg	https://cdn.savagex.com/media/images/products/BB2149734-0687/FOREVER-SAVAGE-BRALETTE-BB2149734-0687-4-600x800.jpg	13333	https://cdn.savagex.com/media/images/products/BB2149734-0687/FOREVER-SAVAGE-BRALETTE-BB2149734-0687-laydown-600x800.jpg	No	32	28/11/2022
BB2148515-0687-57050	12092953	"Romantic Corded Lace Front-Closure Bralette"	"Our eye-catching Romantic Corded Lace Front-Closure Bralette is made from stretch corded lace. Featuring a front closure and unlined built-up cups for support. "	$29.95	https://cdn.savagex.com/media/images/products/BB2148515-0687/ROMANTIC-CORDED-LACE-FRONT-CLOSURE-BRALETTE-BB2148515-0687-1-600x800.jpg		https://www.savagex.com/shop/product-12092953	"in stock"	"Fashion > Apparel > Intimates > Bra > Bralette"	214	new	BB2148515-0687-57050	"Savage X Fenty"	Black	XL	female	adult	Lace		"Romantic Corded Lace Front-Closure Bralette"		https://cdn.savagex.com/media/images/products/BB2148515-0687/ROMANTIC-CORDED-LACE-FRONT-CLOSURE-BRALETTE-BB2148515-0687-2-600x800.jpg	https://cdn.savagex.com/media/images/products/BB2148515-0687/ROMANTIC-CORDED-LACE-FRONT-CLOSURE-BRALETTE-BB2148515-0687-3-600x800.jpg		12881	https://cdn.savagex.com/media/images/products/BB2148515-0687/ROMANTIC-CORDED-LACE-FRONT-CLOSURE-BRALETTE-BB2148515-0687-laydown-600x800.jpg	No	95	01/09/2022
