id	item_group_id	title	description	price	image_link	additional_image_link	link	availability	product_type	google_product_category	condition	mpn	brand	color	size	gender	age_group	material	pattern	custom_label_2	additional_image_link_0	additional_image_link_1	additional_image_link_3	additional_image_link_4	inventory_count	additional_image_link_2	is_bundle	sales_count_conversions_10_days	release_date
BA2044175-3156-14285	11011111	"Savage Not Sorry Lightly Lined Lace Balconette Bra"	"Our Savage Not Sorry Lightly Lined Lace Balconette Bra features lightly padded cups and new Savage custom-designed stretch lace."	$49.95	https://cdn.savagex.com/media/images/products/BA2044175-3156/SAVAGE-NOT-SORRY-LIGHTLY-LINED-LACE-BALCONETTE-BRA-BA2044175-3156-1-600x800.jpg		https://www.savagex.com/shop/product-11011111	"in stock"	"Fashion > Apparel > Intimates > Bra > Underwire"	214	new	BA2044175-3156-14285	"Savage X Fenty"	Green	36DDD	female	adult	Lace		"Savage Not Sorry Lightly Lined Lace Balconette Bra"		https://cdn.savagex.com/media/images/products/BA2044175-3156/SAVAGE-NOT-SORRY-LIGHTLY-LINED-LACE-BALCONETTE-BRA-BA2044175-3156-2-600x800.jpg	https://cdn.savagex.com/media/images/products/BA2044175-3156/SAVAGE-NOT-SORRY-LIGHTLY-LINED-LACE-BALCONETTE-BRA-BA2044175-3156-3-600x800.jpg	https://cdn.savagex.com/media/images/products/BA2044175-3156/SAVAGE-NOT-SORRY-LIGHTLY-LINED-LACE-BALCONETTE-BRA-BA2044175-3156-4-600x800.jpg	12756	https://cdn.savagex.com/media/images/products/BA2044175-3156/SAVAGE-NOT-SORRY-LIGHTLY-LINED-LACE-BALCONETTE-BRA-BA2044175-3156-laydown-600x800.jpg	No	149	04/04/2022
UW2044182-1193-15000	10726897	"Savage X Cotton Boxers"	" Our Savage X Cotton Boxers provide the right fit for all bodies and feature our signature logo print and functional fly front. "	$16.95	https://cdn.savagex.com/media/images/products/UW2044182-1193/SAVAGE-X-COTTON-BOXERS-UW2044182-1193-1-600x800.jpg		https://www.savagex.com/shop/product-10726897	"in stock"	"Fashion > Apparel > Intimates > Unisex"	2562	new	UW2044182-1193-15000	"Savage X Fenty"	White	XS	female	adult	Cotton		"Savage X Cotton Boxers"		https://cdn.savagex.com/media/images/products/UW2044182-1193/SAVAGE-X-COTTON-BOXERS-UW2044182-1193-2-600x800.jpg	https://cdn.savagex.com/media/images/products/UW2044182-1193/SAVAGE-X-COTTON-BOXERS-UW2044182-1193-3-600x800.jpg	https://cdn.savagex.com/media/images/products/UW2044182-1193/SAVAGE-X-COTTON-BOXERS-UW2044182-1193-4-600x800.jpg	12606	https://cdn.savagex.com/media/images/products/UW2044182-1193/SAVAGE-X-COTTON-BOXERS-UW2044182-1193-laydown-600x800.jpg	No	45	30/01/2023
BA2149296-0687-14285	12750868	"Tagged by Savage Unlined Bra"	"The Tagged by Savage Unlined Bra features unlined stretch mesh plunge cups and a tagged Savage X logo. "	$34.95	https://cdn.savagex.com/media/images/products/BA2149296-0687/TAGGED-BY-SAVAGE-UNLINED-BRA-BA2149296-0687-1-600x800.jpg		https://www.savagex.com/shop/product-12750868	"in stock"	"Fashion > Apparel > Intimates > Bra > Unlined"	214	new	BA2149296-0687-14285	"Savage X Fenty"	Black	36DDD	female	adult	Mesh		"Tagged by Savage Unlined Bra"					12557	https://cdn.savagex.com/media/images/products/BA2149296-0687/TAGGED-BY-SAVAGE-UNLINED-BRA-BA2149296-0687-laydown-600x800.jpg	No	44	16/05/2022
BA2042992-5210-14285	10725505	"Savage Not Sorry Unlined Lace Balconette Bra"	"Our Savage Not Sorry Unlined Lace Balconette Bra features no lining and new Savage custom-designed stretch floral lace. "	$44.95	https://cdn.savagex.com/media/images/products/BA2042992-5210/SAVAGE-NOT-SORRY-UNLINED-LACE-BALCONETTE-BRA-BA2042992-5210-1-600x800.jpg		https://www.savagex.com/shop/product-10725505	"in stock"	"Fashion > Apparel > Intimates > Bra > Unlined"	214	new	BA2042992-5210-14285	"Savage X Fenty"	Purple	36DDD	female	adult	Lace		"Savage Not Sorry Unlined Lace Balconette Bra"					12374	https://cdn.savagex.com/media/images/products/BA2042992-5210/SAVAGE-NOT-SORRY-UNLINED-LACE-BALCONETTE-BRA-BA2042992-5210-laydown-600x800.jpg	No	337	18/02/2022
BA2253555-0687-14240	14051560	"Mesh Strapless Bra"	"Our Mesh Strapless Bra has hidden interior boning technology and removable straps to switch up your look."	$44.95	https://cdn.savagex.com/media/images/products/BA2253555-0687/MESH-STRAPLESS-BRA-BA2253555-0687-1-600x800.jpg		https://www.savagex.com/shop/product-14051560	"in stock"	"Fashion > Apparel > Intimates > Bra > Unlined"	214	new	BA2253555-0687-14240	"Savage X Fenty"	Black	36A	female	adult	Mesh		"Mesh Strapless Bra"		https://cdn.savagex.com/media/images/products/BA2253555-0687/MESH-STRAPLESS-BRA-BA2253555-0687-2-600x800.jpg			12325	https://cdn.savagex.com/media/images/products/BA2253555-0687/MESH-STRAPLESS-BRA-BA2253555-0687-laydown-600x800.jpg	No	415	30/11/2022
UD2042009-1528-57050	12813958	"Forever Savage Booty Short"	"The Forever Savage Booty Short has a soft elastic logo waistband, a high-rise fit, and our X logo on the back left hip."	$24.95	https://cdn.savagex.com/media/images/products/UD2042009-1528/FOREVER-SAVAGE-BOOTY-SHORT-UD2042009-1528-1-600x800.jpg		https://www.savagex.com/shop/product-12813958	"in stock"	"Fashion > Apparel > Intimates > Sleepwear > Short"	1772	new	UD2042009-1528-57050	"Savage X Fenty"	Black	XL	female	adult	Nylon		"Forever Savage Booty Short"		https://cdn.savagex.com/media/images/products/UD2042009-1528/FOREVER-SAVAGE-BOOTY-SHORT-UD2042009-1528-2-600x800.jpg	https://cdn.savagex.com/media/images/products/UD2042009-1528/FOREVER-SAVAGE-BOOTY-SHORT-UD2042009-1528-3-600x800.jpg	https://cdn.savagex.com/media/images/products/UD2042009-1528/FOREVER-SAVAGE-BOOTY-SHORT-UD2042009-1528-4-600x800.jpg	12077	https://cdn.savagex.com/media/images/products/UD2042009-1528/FOREVER-SAVAGE-BOOTY-SHORT-UD2042009-1528-laydown-600x800.jpg	No	57	31/01/2022
BA2042991-5210-14938	10725367	"Savage Not Sorry Unlined Lace Balconette Bra"	"Our Savage Not Sorry Unlined Lace Balconette Bra features no lining and new Savage custom-designed stretch floral lace. "	$44.95	https://cdn.savagex.com/media/images/products/BA2042991-5210/SAVAGE-NOT-SORRY-UNLINED-LACE-BALCONETTE-BRA-BA2042991-5210-1-600x800.jpg		https://www.savagex.com/shop/product-10725367	"out of stock"	"Fashion > Apparel > Intimates > Bra > Unlined"	214	new	BA2042991-5210-14938	"Savage X Fenty"	Purple	42H	female	adult	Lace		"Savage Not Sorry Unlined Lace Balconette Bra"					11943	https://cdn.savagex.com/media/images/products/BA2042991-5210/SAVAGE-NOT-SORRY-UNLINED-LACE-BALCONETTE-BRA-BA2042991-5210-laydown-600x800.jpg	No	126	13/07/2022
BA2252985-0687-14938	13311121	"Cotton Essentials Unlined Bra"	"Our Cotton Essentials Unlined Bra features scalloped logo lace trim and 3-layer cups for support. "	$29.95	https://cdn.savagex.com/media/images/products/BA2252985-0687/COTTON-ESSENTIALS-UNLINED-BRA-BA2252985-0687-1-600x800.jpg		https://www.savagex.com/shop/product-13311121	"in stock"	"Fashion > Apparel > Intimates > Bra > Unlined"	214	new	BA2252985-0687-14938	"Savage X Fenty"	Black	42H	female	adult	Cotton		"Cotton Essentials Unlined Bra"		https://cdn.savagex.com/media/images/products/BA2252985-0687/COTTON-ESSENTIALS-UNLINED-BRA-BA2252985-0687-2-600x800.jpg	https://cdn.savagex.com/media/images/products/BA2252985-0687/COTTON-ESSENTIALS-UNLINED-BRA-BA2252985-0687-3-600x800.jpg		11845	https://cdn.savagex.com/media/images/products/BA2252985-0687/COTTON-ESSENTIALS-UNLINED-BRA-BA2252985-0687-laydown-600x800.jpg	No	170	09/11/2022
SQ2148247-0687-15140	12022624	"CLF Racerback Robe"	"Our CLF Racerback Robe is a classic robe silhouette with an updated cutout lace detail at back. SXF will donate up to $425,000 from the sale of the 2021 CLF Collection, from 8/18/21 until products are sold out to the Clara Lionel Foundation (CLF). 	 This purchase is not tax-deductible."	$69.95	https://cdn.savagex.com/media/images/products/SQ2148247-0687/CLF-RACERBACK-SATIN-ROBE-SQ2148247-0687-1-600x800.jpg		https://www.savagex.com/shop/product-12022624	"in stock"	"Fashion > Apparel > Intimates > Sleepwear > Robe"	1772	new	SQ2148247-0687-15140	"Savage X Fenty"	Black	M/L	female	adult	Satin		"CLF Racerback Robe"		https://cdn.savagex.com/media/images/products/SQ2148247-0687/CLF-RACERBACK-SATIN-ROBE-SQ2148247-0687-2-600x800.jpg	https://cdn.savagex.com/media/images/products/SQ2148247-0687/CLF-RACERBACK-SATIN-ROBE-SQ2148247-0687-3-600x800.jpg		11755	https://cdn.savagex.com/media/images/products/SQ2148247-0687/CLF-RACERBACK-SATIN-ROBE-SQ2148247-0687-laydown-600x800.jpg	No	7	25/02/2022
BB2042668-0687-15130	10816795	"Cotton Essentials Bralette"	"Our Cotton Essentials Bralette is an everyday essential featuring a 3-layer front for support and delicate logo lace trim."	$19.95	https://cdn.savagex.com/media/images/products/BB2042668-0687/COTTON-ESSENTIALS-BRALETTE-BB2042668-0687-1-600x800.jpg		https://www.savagex.com/shop/product-10816795	"in stock"	"Fashion > Apparel > Intimates > Bra > Bralette"	214	new	BB2042668-0687-15130	"Savage X Fenty"	Black	4X	female	adult	Cotton		"Cotton Essentials Bralette"		https://cdn.savagex.com/media/images/products/BB2042668-0687/COTTON-ESSENTIALS-BRALETTE-BB2042668-0687-2-600x800.jpg			11609	https://cdn.savagex.com/media/images/products/BB2042668-0687/COTTON-ESSENTIALS-BRALETTE-BB2042668-0687-laydown-600x800.jpg	No	48	18/02/2022
SQ2253530-5299-57050	14043844	"Keep It Casual Sleep Pant"	"An effortless classic, our Keep It Casual Sleep Pant features a pointelle jersey knit body and scalloped logo waistband."	$39.95	https://cdn.savagex.com/media/images/products/SQ2253530-5299/KEEP-IT-CASUAL-SLEEP-PANT-SQ2253530-5299-1-600x800.jpg		https://www.savagex.com/shop/product-14043844	"in stock"	"Fashion > Apparel > Intimates > Sleepwear > Sleep Pant"	1772	new	SQ2253530-5299-57050	"Savage X Fenty"	Purple	XL	female	adult	Knit		"Keep It Casual Sleep Pant"		https://cdn.savagex.com/media/images/products/SQ2253530-5299/KEEP-IT-CASUAL-SLEEP-PANT-SQ2253530-5299-2-600x800.jpg	https://cdn.savagex.com/media/images/products/SQ2253530-5299/KEEP-IT-CASUAL-SLEEP-PANT-SQ2253530-5299-3-600x800.jpg	https://cdn.savagex.com/media/images/products/SQ2253530-5299/KEEP-IT-CASUAL-SLEEP-PANT-SQ2253530-5299-4-600x800.jpg	11577	https://cdn.savagex.com/media/images/products/SQ2253530-5299/KEEP-IT-CASUAL-SLEEP-PANT-SQ2253530-5299-laydown-600x800.jpg	No	10	06/12/2022
