id	item_group_id	title	price	sale_price	image_link	link	availability	product_type	brand	additional_image_link_1	additional_image_link_2	additional_image_link_3	inventory_count	product_sku	sales_count_conversions_10_days	additional_image_link_0	additional_image_link_4	sales_count_conversions_1_day	mpid	parent_sku	membership_brand_id	release_date
BB2354605-7704-50820	15209635	"Smoothed Reality Plunge Bra"	$59.95		https://fabletics-us-cdn.justfab.com/media/images/products/BB2354605-7704/yitty_BB2354605-7704-1_998x1498.jpg	"https://yitty.fabletics.com/products/15209635?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Sports Bras > Bralette"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/BB2354605-7704/yitty_BB2354605-7704-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/BB2354605-7704/yitty_BB2354605-7704-4_998x1498.jpg	4576	BB2354605-7704	13		https://fabletics-us-cdn.justfab.com/media/images/products/BB2354605-7704/yitty_BB2354605-7704-5_998x1498.jpg	3	15209635	BB2354605-7704	2	2023/06/13
BB2354605-7705-50820	15209695	"Smoothed Reality Plunge Bra"	$49.95		https://fabletics-us-cdn.justfab.com/media/images/products/BB2354605-7705/yitty_BB2354605-7705-1_998x1498.jpg	"https://yitty.fabletics.com/products/15209695?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Sports Bras > Bralette"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/BB2354605-7705/yitty_BB2354605-7705-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/BB2354605-7705/yitty_BB2354605-7705-4_998x1498.jpg	2019	BB2354605-7705	17		https://fabletics-us-cdn.justfab.com/media/images/products/BB2354605-7705/yitty_BB2354605-7705-5_998x1498.jpg	3	15209695	BB2354605-7705	2	2023/06/13
BB2355592-7704-50820	15209755	"Smoothed Reality Square Neck Bralette"	$49.95		https://fabletics-us-cdn.justfab.com/media/images/products/BB2355592-7704/yitty_BB2355592-7704-1_998x1498.jpg	"https://yitty.fabletics.com/products/15209755?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Sports Bras > Bralette"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/BB2355592-7704/yitty_BB2355592-7704-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/BB2355592-7704/yitty_BB2355592-7704-4_998x1498.jpg	2800	BB2355592-7704	1		https://fabletics-us-cdn.justfab.com/media/images/products/BB2355592-7704/yitty_BB2355592-7704-5_998x1498.jpg	1	15209755	BB2355592-7704	2	2023/06/13
BU2354764-3437-50820	15215295	"Smoothed Reality Thong Bodysuit"	$49.95		https://fabletics-us-cdn.justfab.com/media/images/products/BU2354764-3437/yitty_BU2354764-3437-1_998x1498.jpg	"https://yitty.fabletics.com/products/15215295?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Tops > Bodysuits"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/BU2354764-3437/yitty_BU2354764-3437-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/BU2354764-3437/yitty_BU2354764-3437-4_998x1498.jpg	2228	BU2354764-3437	10		https://fabletics-us-cdn.justfab.com/media/images/products/BU2354764-3437/yitty_BU2354764-3437-5_998x1498.jpg	3	15215295	BU2354764-3437	2	2023/06/13
TH2250601-9066-15140	12650056	"Nearly Naked Shaping High Waist Thong"	$39.95		https://fabletics-us-cdn.justfab.com/media/images/products/TH2250601-9066/yitty_TH2250601-9066-1_998x1498.jpg	"https://yitty.fabletics.com/products/12650056?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Socks & Underwear > Thongs"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/TH2250601-9066/yitty_TH2250601-9066-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/TH2250601-9066/yitty_TH2250601-9066-4_998x1498.jpg	1243	TH2250601-9066	1		https://fabletics-us-cdn.justfab.com/media/images/products/TH2250601-9066/yitty_TH2250601-9066-5_998x1498.jpg	1	12650056	TH2250601-9066	2	2023/06/12
BF2251668-7418-50740	12650116	"Mesh Me Smoothing High Waist Brief"	$39.95		https://fabletics-us-cdn.justfab.com/media/images/products/BF2251668-7418/yitty_BF2251668-7418-1_998x1498.jpg	"https://yitty.fabletics.com/products/12650116?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Socks & Underwear > Bikini > Briefs"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/BF2251668-7418/yitty_BF2251668-7418-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/BF2251668-7418/yitty_BF2251668-7418-4_998x1498.jpg	3739	BF2251668-7418	0		https://fabletics-us-cdn.justfab.com/media/images/products/BF2251668-7418/yitty_BF2251668-7418-5_998x1498.jpg	0	12650116	BF2251668-7418	2	2023/06/12
SO2250599-9066-16120	12650668	"Nearly Naked Shaping High Waist Short"	$49.95		https://fabletics-us-cdn.justfab.com/media/images/products/SO2250599-9066/yitty_SO2250599-9066-1_998x1498-plus.jpg	"https://yitty.fabletics.com/products/12650668?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Shorts"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/SO2250599-9066/yitty_SO2250599-9066-3_998x1498-plus.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/SO2250599-9066/yitty_SO2250599-9066-4_998x1498-plus.jpg	3117	SO2250599-9066	0		https://fabletics-us-cdn.justfab.com/media/images/products/SO2250599-9066/yitty_SO2250599-9066-5_998x1498-plus.jpg	0	12650668	SO2250599-9066	2	2023/06/12
LG2250595-3491-50800	12650794	"Mesh Me Smoothing High Waist Legging"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2250595-3491/yitty_LG2250595-3491-1_998x1498-plus.jpg	"https://yitty.fabletics.com/products/12650794?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/LG2250595-3491/yitty_LG2250595-3491-3_998x1498-plus.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2250595-3491/yitty_LG2250595-3491-4_998x1498-plus.jpg	5726	LG2250595-3491	4		https://fabletics-us-cdn.justfab.com/media/images/products/LG2250595-3491/yitty_LG2250595-3491-5_998x1498-plus.jpg	0	12650794	LG2250595-3491	2	2023/06/12
SO2250596-7408-50770	12651028	"Mesh Me Smoothing High Waist Short"	$59.95		https://fabletics-us-cdn.justfab.com/media/images/products/SO2250596-7408/yitty_SO2250596-7408-1_998x1498-plus.jpg	"https://yitty.fabletics.com/products/12651028?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Shorts"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/SO2250596-7408/yitty_SO2250596-7408-3_998x1498-plus.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/SO2250596-7408/yitty_SO2250596-7408-4_998x1498-plus.jpg	1329	SO2250596-7408	2		https://fabletics-us-cdn.justfab.com/media/images/products/SO2250596-7408/yitty_SO2250596-7408-5_998x1498-plus.jpg	0	12651028	SO2250596-7408	2	2023/06/12
BB2250494-3491-50730	12651640	"Mesh Me Smoothing Midi Bralette"	$49.95		https://fabletics-us-cdn.justfab.com/media/images/products/BB2250494-3491/yitty_BB2250494-3491-1_998x1498.jpg	"https://yitty.fabletics.com/products/12651640?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Sports Bras > Bralette"	Fabletics		https://fabletics-us-cdn.justfab.com/media/images/products/BB2250494-3491/yitty_BB2250494-3491-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/BB2250494-3491/yitty_BB2250494-3491-4_998x1498.jpg	2629	BB2250494-3491	3		https://fabletics-us-cdn.justfab.com/media/images/products/BB2250494-3491/yitty_BB2250494-3491-5_998x1498.jpg	0	12651640	BB2250494-3491	2	2023/06/12
