id	item_group_id	title	description	price	sale_price	image_link	additional_image_link	link	availability	product_type	google_product_category	condition	mpn	brand	color	size	gender	age_group	custom_label_2	parent_sku	vip_price	sales_count_conversions_10_days	sales_count_10_days	half_price	aged_saleprice	imagecrawler_http	release_date	inventory_count	inventory2	sales_count_conversions_1_day	additional_image_link_2	additional_image_link_3	additional_image_link_4	low_stock	product_sku	woh	wide_width	wide_calf
HD2356581-8254-83120	16716996	"Miri Gladiator Heeled Sandal"		$32.95	$8.24	https://static3.sd-assets.com/assets/images/001/363/181/Miri-Gladiator-Heeled-Sandal-HD2356581-8254_B_F3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/363/181/Miri-Gladiator-Heeled-Sandal-HD2356581-8254_B_F3Q-original.jpg	https://www.shoedazzle.com/products/Miri-Gladiator-Heeled-Sandal-HD2356581-8254	"in stock"	"Fashion > Shoes > Sandals > Strappy"	187	new	HD2356581-8254-83120	ShoeDazzle	"Chocolate Lab"	12	female		"Miri Gladiator Heeled Sandal"	HD2356581-8254	$32.95	6	30	$16.48	$13.18		07/28/2023	677	36	0	https://static3.sd-assets.com/assets/images/001/363/391/Miri-Gladiator-Heeled-Sandal-HD2356581-8254_C_b3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/363/071/Miri-Gladiator-Heeled-Sandal-HD2356581-8254_A_Front-hero-original.jpg	https://static3.sd-assets.com/assets/images/001/362/886/Miri-Gladiator-Heeled-Sandal-HD2356581-8254_C_Content4-original.jpg		HD2356581-8254	24.2		
PP2356583-2990-83120	16717326	"Liliane Heeled Lug Sole Loafer"		$42.95	$10.74	https://static3.sd-assets.com/assets/images/001/363/296/Liliane-Lug-Sole-Loafer-PP2356583-2990_C_Content2-original.jpg	https://static3.sd-assets.com/assets/images/001/363/296/Liliane-Lug-Sole-Loafer-PP2356583-2990_C_Content2-original.jpg	https://www.shoedazzle.com/products/Liliane-Lug-Sole-Loafer-PP2356583-2990	"in stock"	"Fashion > Shoes > Flats > Loafer"	187	new	PP2356583-2990-83120	ShoeDazzle	"Leather Brown"	12	female		"Liliane Heeled Lug Sole Loafer"	PP2356583-2990	$42.95	6	36	$21.48	$17.18		07/28/2023	871	24	0	https://static3.sd-assets.com/assets/images/001/363/431/Liliane-Lug-Sole-Loafer-PP2356583-2990_C_b3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/362/766/Liliane-Lug-Sole-Loafer-PP2356583-2990_B_F3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/362/996/Liliane-Lug-Sole-Loafer-PP2356583-2990_D_Foot-original.jpg		PP2356583-2990	17.8		
DA2040125-1099-83120	16717391	"Lorelai Block Heeled Sandal"	"A sturdy block heel makes this sleek, ladylike sandal surprisingly comfortable. The Lorelai features an elegant ankle strap with an adjustable buckle; a must-own for office ensembles."	$36.95	$9.24	https://static3.sd-assets.com/assets/images/001/362/686/Lorelai-Ankle-Boot-DA2040125-1099_B_F3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/362/686/Lorelai-Ankle-Boot-DA2040125-1099_B_F3Q-original.jpg	https://www.shoedazzle.com/products/Lorelai-Ankle-Boot-DA2040125-1099	"in stock"	"Fashion > Shoes > Sandals > Ankle Strap"		new	DA2040125-1099-83120	ShoeDazzle	Rhinestone	12	female		"Lorelai Block Heeled Sandal"	DA2040125-1099	$36.95	6	28	$18.48	$14.78		08/15/2023	775	36	3	https://static3.sd-assets.com/assets/images/001/362/511/Lorelai-Ankle-Boot-DA2040125-1099_C_b3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/362/856/Lorelai-Ankle-Boot-DA2040125-1099_C_Content3-original.jpg	https://static3.sd-assets.com/assets/images/001/375/231/Lorelai-Ankle-Boot-DA2040125-1099_C_Content1-original.jpg		DA2040125-1099	18.5		
FT2356550-1429-83120	16717771	"Karlie Slip-On Loafer"		$29.95	$7.49	https://static3.sd-assets.com/assets/images/001/362/916/Karlie-Slip-On-Loafer-FT2356550-1429_C_Content2-original.jpg	https://static3.sd-assets.com/assets/images/001/362/916/Karlie-Slip-On-Loafer-FT2356550-1429_C_Content2-original.jpg	https://www.shoedazzle.com/products/Karlie-Slip-On-Loafer-FT2356550-1429	"in stock"	"Fashion > Shoes > Flats > Loafer"	187	new	FT2356550-1429-83120	ShoeDazzle	Birch	12	female		"Karlie Slip-On Loafer"	FT2356550-1429	$29.95	6	28	$14.98	$11.98		07/28/2023	151	3	1	https://static3.sd-assets.com/assets/images/001/362/741/Karlie-Slip-On-Loafer-FT2356550-1429_C_b3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/362/771/Karlie-Slip-On-Loafer-FT2356550-1429_B_F3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/363/381/Karlie-Slip-On-Loafer-FT2356550-1429_D_Foot-original.jpg	"LOW IN STOCK"	FT2356550-1429	3.6		
FA2147413-0001-84120	11393845	"Cloey Slide Sandal"	"A slip-on thong sandal with a crisscross strap detail."	$19.95	$4.99	https://static3.sd-assets.com/assets/images/001/318/950/CLOEY-FA2040950-0001_A_Front-hero-original.jpg	https://static3.sd-assets.com/assets/images/001/318/950/CLOEY-FA2040950-0001_A_Front-hero-original.jpg	https://www.shoedazzle.com/products/CLOEY-FA2040950-0001	"out of stock"	"Fashion > Shoes > Sandals > Thong & Flip Flop"	187	new	FA2147413-0001-84120	ShoeDazzle	Black	12	female		"Cloey Slide Sandal"	FA2147413-0001	$19.95	5	59	$9.98	$7.98		05/23/2023	1696	0	0	https://static3.sd-assets.com/assets/images/001/318/320/CLOEY-FA2040950-0001_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/318/730/CLOEY-FA2040950-0001_B_F3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/318/840/CLOEY-FA2040950-0001_C_Content6-original.jpg		FA2147413-0001	"121.1 Wide Width Available"	"Wide Width Available"	
FB2149183-0001-83120	14065678	"Ramona Over-The-Knee Flat Boot"		$49.95	$12.49	https://static3.sd-assets.com/assets/images/001/294/184/Ramona-Over-The-Knee-Flat-Boot-FB2149183-0001_B_F3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/294/184/Ramona-Over-The-Knee-Flat-Boot-FB2149183-0001_B_F3Q-original.jpg	https://www.shoedazzle.com/products/Ramona-Over-The-Knee-Flat-Boot-FB2149183-0001	"out of stock"	"Fashion > Shoes > Boots & Booties > Over the Knee"	187	new	FB2149183-0001-83120	ShoeDazzle	Black	12	female		"Ramona Over-The-Knee Flat Boot"	FB2149183-0001	$49.95	5	19	$24.98	$19.98		11/03/2022	2017	0	2	https://static3.sd-assets.com/assets/images/001/294/145/Ramona-Over-The-Knee-Flat-Boot-FB2149183-0001_C_Content3-original.jpg	https://static3.sd-assets.com/assets/images/001/294/168/Ramona-Over-The-Knee-Flat-Boot-FB2149183-0001_C_Content1-original.jpg	https://static3.sd-assets.com/assets/images/001/294/181/Ramona-Over-The-Knee-Flat-Boot-FB2149183-0001_C_B3Q-original.jpg		FB2149183-0001	96		
HS2149758-0001-88120	14066461	"Arlette Block Heeled Boot"		$44.95	$11.24	https://static3.sd-assets.com/assets/images/001/294/564/Arlette-Block-Heeled-Boot-HS2149757-0001_B_F3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/294/564/Arlette-Block-Heeled-Boot-HS2149757-0001_B_F3Q-original.jpg	https://www.shoedazzle.com/products/Arlette-Block-Heeled-Boot-HS2149757-0001	"out of stock"	"Fashion > Shoes > Boots & Booties > Dress"	187	new	HS2149758-0001-88120	ShoeDazzle	Black	12	female		"Arlette Block Heeled Boot"	HS2149758-0001	$44.95	5	10	$22.48	$17.98		11/03/2022	132	0	0	https://static3.sd-assets.com/assets/images/001/294/256/Arlette-Block-Heeled-Boot-HS2149757-0001_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/294/226/Arlette-Block-Heeled-Boot-HS2149757-0001_C_Content1-original.jpg	https://static3.sd-assets.com/assets/images/001/294/084/Arlette-Block-Heeled-Boot-HS2149757-0001_C_Content2-original.jpg	"LOW IN STOCK"	HS2149758-0001	"132 Wide Calf Available"		"Wide Calf Available"
SK2146955-6479-83120	14457076	"Easton Sneaker"		$34.95	$8.74	https://static3.sd-assets.com/assets/images/001/298/643/Easton-Sneaker-SK2146955-6479_B_F3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/298/643/Easton-Sneaker-SK2146955-6479_B_F3Q-original.jpg	https://www.shoedazzle.com/products/Easton-Sneaker-SK2146955-6479	"in stock"	"Fashion > Shoes > Sneakers > Active"	187	new	SK2146955-6479-83120	ShoeDazzle	White	12	female		"Easton Sneaker"	SK2146955-6479	$34.95	5	26	$17.48	$13.98		08/29/2023	6040	125	0	https://static3.sd-assets.com/assets/images/001/298/626/Easton-Sneaker-SK2146955-6479_C_CONTENT2-original.jpg	https://static3.sd-assets.com/assets/images/001/298/631/Easton-Sneaker-SK2146955-6479_C_CONTENT3-original.jpg	https://static3.sd-assets.com/assets/images/001/298/637/Easton-Sneaker-SK2146955-6479_C_B3Q-original.jpg		SK2146955-6479	431.4		
PP2354778-0204-84120	14576167	"BRIT SLING-BACK FLARED PUMP"		$39.95	$9.99	https://static3.sd-assets.com/assets/images/001/303/745/BRIT-SLING-BACK-FLARED-PUMP-PP2354778-0204_B_F3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/303/745/BRIT-SLING-BACK-FLARED-PUMP-PP2354778-0204_B_F3Q-original.jpg	https://www.shoedazzle.com/products/BRIT-SLING-BACK-FLARED-PUMP-PP2354778-0204	"out of stock"	"Fashion > Shoes > Pumps > Slingback"	187	new	PP2354778-0204-84120	ShoeDazzle	GOLD	12	female		"BRIT SLING-BACK FLARED PUMP"	PP2354778-0204	$39.95	5	24	$19.98	$15.98		05/26/2023	401	0	1	https://static3.sd-assets.com/assets/images/001/303/895/BRIT-SLING-BACK-FLARED-PUMP-PP2354778-0204_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/303/850/BRIT-SLING-BACK-FLARED-PUMP-PP2354778-0204_C_CONTENT1-original.jpg	https://static3.sd-assets.com/assets/images/001/304/000/BRIT-SLING-BACK-FLARED-PUMP-PP2354778-0204_C_CONTENT3-original.jpg		PP2354778-0204	19.1		
FA2354807-7508-83120	14619652	"Layla Flat Thong Sandal"		$14.95	$3.74	https://static3.sd-assets.com/assets/images/001/310/305/LAYLA-FLAT-THONG-SANDAL-FA2354807-7508_A_Front-hero-original.jpg	https://static3.sd-assets.com/assets/images/001/310/305/LAYLA-FLAT-THONG-SANDAL-FA2354807-7508_A_Front-hero-original.jpg	https://www.shoedazzle.com/products/Layla-Flat-Thong-Sandal-FA2354807-7508	"out of stock"	"Fashion > Shoes > Sandals > Thong & Flip Flop"	187	new	FA2354807-7508-83120	ShoeDazzle	"Peach Bud"	12	female		"Layla Flat Thong Sandal"	FA2354807-7508	$14.95	5	42	$7.48	$5.98		04/29/2023	116	0	0	https://static3.sd-assets.com/assets/images/001/310/615/LAYLA-FLAT-THONG-SANDAL-FA2354807-7508_C_F3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/310/730/LAYLA-FLAT-THONG-SANDAL-FA2354807-7508_C_Content2-original.jpg	https://static3.sd-assets.com/assets/images/001/315/270/LAYLA-FLAT-THONG-SANDAL-FA2354807-7508_C_CONTENT3-original.jpg	"LOW IN STOCK"	FA2354807-7508	116		
