id	item_group_id	title	description	price	sale_price	image_link	link	availability	product_type	color	size	custom_label_0	parent_sku	sales_count_10_days	sales_count_conversions_10_days	release_date	inventory_count	low_stock	sales_count_conversions_1_day	woh	wide_width	wide_calf
DA2146312-1099-84120	14559235	"Lyvia Classic Heeled Sandal"	" Material: Faux Suede Heel Height: 2.25"" Extra Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in E fit Measurements will vary slightly Closure: Adjustable Buckle Imported "	"$36.95 "	$9.24	https://us-cdn.justfab.com/media/images/products/DA2040157-1099/DA2040157-1099-2_589x860.jpg	//justfab.com/products/Lyvia-Classic-Heeled-Sandal-DA2040157-1099	"out of stock"	"Fashion > Shoes > Sandals > Ankle Strap"	Rhinestone	12	5	DA2146312-1099	77	5	03/22/2023	2765		1	"79 Wide Width Available"	"Wide Width Available"	
HD2354993-3346-83120	14581117	"Esmie Block Heeled Platform Sandal"	" Material: Raffia Heel Height: 3.5"" Platform Height: 2.0"" Measurements will vary slightly Closure: Slip On Imported "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/HD2354993-3346/HD2354993-3346-2_589x860.jpg	//justfab.com/products/Esmie-Block-Heeled-Platform-Sandal-HD2354993-3346	"in stock"	"Fashion > Shoes > Sandals > Mule"	"Natural Raffia"	12	2	HD2354993-3346	28	2	07/27/2023	718		1	102.6		
FT2149425-9111-88120	14581390	"Amanda Pointed Toe Flat"	" Belongs to the JF Core collection—tried, tested & true Material: Recycled Micro Heel Height: 0.25"" Extra Wide Width size has extra room across the footbed, ball of the foot and instep Wide width size is available in E fit Measurements will vary slightly Closure: Slip On Imported "	"$29.95 "	$7.49	https://us-cdn.justfab.com/media/images/products/FT2149424-9111/FT2149424-9111-2_589x860.jpg	//justfab.com/products/Amanda-Pointed-Toe-Flat-FT2149424-9111	"out of stock"	"Fashion > Shoes > Flats > Ballet"	"Pale Banana"	12	2	FT2149425-9111	27	2	06/14/2023	125		1	"6 Wide Width Available"	"Wide Width Available"	
SK2147836-1010-84120	14584129	"Aleale High Top Wedge Sneaker"	" Material: Faux Leather Heel Height: 3.25"" Measurements will vary slightly Closure: Functional Inside Zipper Imported "	"$42.95 "	$10.74	https://us-cdn.justfab.com/media/images/products/SK2147836-1010/SK2147836-1010-2_589x860.jpg	//justfab.com/products/Aleale-High-Top-Wedge-Sneaker-SK2147836-1010	"out of stock"	"Fashion > Shoes > Sneakers > High Top"	White	12	16	SK2147836-1010	55	16	07/28/2023	2537		1	60.4		
PP2354778-0204-84120	14584714	"Brit Sling-Back Flared Pump"	" Padded insole for extra comfort Material: Faux Leather Heel Height: 4.0"" Measurements will vary slightly Closure: Elastic Strap Imported "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/PP2354778-0204/PP2354778-0204-2_589x860.jpg	//justfab.com/products/Brit-Sling-Back-Flared-Pump-PP2354778-0204	"out of stock"	"Fashion > Shoes > Pumps > Slingback"	Gold	12	1	PP2354778-0204	30	1	05/01/2023	404		1	14.4		
PP2354778-1533-84120	14584753	"Brit Sling-Back Flared Pump"	" Material: Faux Suede Heel Height: 4.0"" Measurements will vary slightly Closure: Elastic Strap Imported "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/PP2354778-1533/PP2354778-1533-2_589x860.jpg	//justfab.com/products/Brit-Sling-Back-Flared-Pump-PP2354778-1533	"in stock"	"Fashion > Shoes > Pumps > Slingback"	"Black Caviar"	12	12	PP2354778-1533	62	12	08/30/2023	1384		1	22		
PP2355174-0001-84120	14584870	"Charli Platform Peep Toe Pump"	" Material: Faux Suede Heel Height: 5.25"" Platform Height: 1.5"" Closure: Slip On Measurements will vary slightly Imported "	"$49.95 "	$12.49	https://us-cdn.justfab.com/media/images/products/PP2355174-0001/PP2355174-0001-2_589x860.jpg	//justfab.com/products/Charli-Platform-Peep-Toe-Pump-PP2355174-0001	"out of stock"	"Fashion > Shoes > Pumps > Platform"	Black	12	8	PP2355174-0001	37	8	05/01/2023	644		1	92		
WE2354775-7758-84120	14584909	"Alina Wedge Sandal"	" Material: Faux Suede Fit: Runs small. Order 1/2 size up Heel Height: 5.0"" Platform Height: 1.25"" Measurements will vary slightly Imported "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/WE2354775-7758/WE2354775-7758-2_589x860.jpg	//justfab.com/products/Alina-Wedge-Sandal-WE2354775-7758	"out of stock"	"Fashion > Shoes > Sandals > Wedge"	Fuschia	12	2	WE2354775-7758	7	2	03/22/2023	80		1	11.4		
FA2354950-0001-84120	14625067	"Brooke Ankle Tie Flat Sandal"	" Material: Recycled Micro Suede Heel Height: 0.5"" Measurements will vary slightly Closure: Adjustable Laces Imported "	"$32.95 "	$8.24	https://us-cdn.justfab.com/media/images/products/FA2354950-0001/FA2354950-0001-2_589x860.jpg	//justfab.com/products/Brooke-Ankle-Tie-Flat-Sandal-FA2354950-0001	"out of stock"	"Fashion > Shoes > Sandals > Strappy"	Black	12	2	FA2354950-0001	19	2	05/01/2023	52		1	3.7		
FA2042714-2400-84120	14625106	"Adelpha Two Strap Sandal"	"Material: Faux Leather Heel Height: 0.25"" Imported "	"$29.95 "	$7.49	https://us-cdn.justfab.com/media/images/products/FA2042714-2400/FA2042714-2400-2_589x860.jpg	//justfab.com/products/ADELPHA-TWO-STRAP-SANDAL-FA2042714-2400	"out of stock"	"Fashion > Shoes > Sandals > Slide"	Beige	12	4	FA2042714-2400	112	4	05/01/2023	1090		1	19.5		
