id	item_group_id	title	description	price	sale_price	image_link	additional_image_link	link	availability	product_type	brand	color	size	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4	parent_sku	catwalk_video	release_date	half_price	sales_count_conversions_10_days	inventory_count	sales_count_conversions_1_day	woh	wide_width	wide_calf
FT2356685-4742-83120	16728481	"Elea Flat Loafer"	" Material: Faux Suede Heel Height: 1.25"" Platform Height: 0.75"" Closure: Elastic Strap Imported. "	"$39.95 "	$9.99	https://us-cdn.justfab.com/media/images/products/FT2356685-4742/FT2356685-4742-2_589x860.jpg		https://www.justfab.com/products/Elea-Flat-Loafer-FT2356685-4742	"in stock"	"Fashion > Shoes > Flats > Loafer"	JustFab	"Dark Sapphire"	12						FT2356685-4742		2023/08/30	$11.99	0	600	0	600		
FT2356688-0001-84110	16730601	"Liv Flat Loafer"	" Material: Faux Leather Heel Height: 2.25"" Platform Height: 1.5"" Closure: Adjustable Buckle Imported. "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/FT2356688-0001/FT2356688-0001-2_589x860.jpg		https://www.justfab.com/products/Liv-Flat-Loafer-FT2356688-0001	"in stock"	"Fashion > Shoes > Flats > Loafer"	JustFab	Black	11						FT2356688-0001		2023/08/30	$13.49	0	1199	0	1199		
FT2356688-1090-84110	16730661	"Liv Flat Loafer"	" Material: Faux Leather Heel Height: 2.25"" Platform Height: 1.5"" Closure: Adjustable Buckle Imported. "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/FT2356688-1090/FT2356688-1090-2_589x860.jpg		https://www.justfab.com/products/Liv-Flat-Loafer-FT2356688-1090	"in stock"	"Fashion > Shoes > Flats > Loafer"	JustFab	"Bright White"	11						FT2356688-1090		2023/08/30	$13.49	0	612	0	612		
HD2356626-0001-83120	15037830	"Hadley Platform Sandal"	" Material: Faux Suede Heel Height: 4.25"" Platform Height: 1.5"" Closure: Adjustable Buckle Measurements will vary slightly Imported "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/HD2356626-0001/HD2356626-0001-2_589x860.jpg		https://www.justfab.com/products/Hadley-Platform-Sandal-HD2356626-0001	"in stock"	"Fashion > Shoes > Sandals > Ankle Strap"	JustFab	Black	12						HD2356626-0001		2023/08/30	$13.49	0	1799	0	1799		
HD2356626-4720-83120	15037895	"Hadley Platform Sandal"	" Material: Faux Suede Heel Height: 4.25"" Platform Height: 1.5"" Closure: Adjustable Buckle Measurements will vary slightly Imported "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/HD2356626-4720/HD2356626-4720-2_589x860.jpg		https://www.justfab.com/products/Hadley-Platform-Sandal-HD2356626-4720	"in stock"	"Fashion > Shoes > Sandals > Ankle Strap"	JustFab	"Dark Denim"	12						HD2356626-4720		2023/08/30	$13.49	0	1389	0	1389		
HD2356645-0001-84120	16730406	"Karsyn Heeled Slide Sandal"	" Material: Faux Leather Heel Height: 2.75"" Closure: Slip On Imported. "	"$34.95 "	$8.74	https://us-cdn.justfab.com/media/images/products/HD2356645-0001/HD2356645-0001-2_589x860.jpg		https://www.justfab.com/products/Karsyn-Heeled-Slide-Sandal-HD2356645-0001	"in stock"	"Fashion > Shoes > Sandals > Mule"	JustFab	Black	12						HD2356645-0001		2023/08/30	$10.49	0	1467	0	1467		
HD2356645-3885-84120	16730471	"Karsyn Heeled Slide Sandal"	" Material: Faux Leather Heel Height: 2.75"" Closure: Slip On Imported. "	"$34.95 "	$8.74	https://us-cdn.justfab.com/media/images/products/HD2356645-3885/HD2356645-3885-2_589x860.jpg		https://www.justfab.com/products/Karsyn-Heeled-Slide-Sandal-HD2356645-3885	"in stock"	"Fashion > Shoes > Sandals > Mule"	JustFab	"Tender Shoots Green"	12						HD2356645-3885		2023/08/30	$10.49	0	805	0	805		
HD2356646-6397-84120	16730851	"Londyn Platform Heeled Sandal"	" Material: Faux Suede Heel Height: 5.25"" Platform Height: 1.5"" Closure: Adjustable Buckle Imported. "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/HD2356646-6397/HD2356646-6397-2_589x860.jpg		https://www.justfab.com/products/Londyn-Platform-Heeled-Sandal-HD2356646-6397	"in stock"	"Fashion > Shoes > Sandals > Ankle Strap"	JustFab	"New Nude"	12						HD2356646-6397		2023/08/30	$13.49	0	1205	0	1205		
HD2356646-8283-84120	16730916	"Londyn Platform Heeled Sandal"	" Material: Faux Suede Heel Height: 5.25"" Platform Height: 1.5"" Closure: Adjustable Buckle Imported. "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/HD2356646-8283/HD2356646-8283-2_589x860.jpg		https://www.justfab.com/products/Londyn-Platform-Heeled-Sandal-HD2356646-8283	"in stock"	"Fashion > Shoes > Sandals > Ankle Strap"	JustFab	"Forest Biome Green"	12						HD2356646-8283		2023/08/30	$13.49	0	805	0	805		
HD2356666-0001-83120	16726686	"Carlin Cut-Out Bootie"	" Material: Faux Suede Heel Height: 4.5"" Platform Height: 0.5"" Shaft Height (based on size 8): 3.75"" Closure: Adjustable Buckle Imported. "	"$44.95 "	$11.24	https://us-cdn.justfab.com/media/images/products/HD2356666-0001/HD2356666-0001-2_589x860.jpg		https://www.justfab.com/products/Carlin-Heeled-Sandal-HD2356666-0001	"in stock"	"Fashion > Shoes > Boots > Booties"	JustFab	Black	12						HD2356666-0001		2023/08/30	$13.49	0	2500	0	2500		
