id	item_group_id	title	price	sale_price	image_link	link	availability	product_type	brand	additional_image_link_1	additional_image_link_2	additional_image_link_3	inventory_count	product_sku	sales_count_conversions_10_days	additional_image_link_0	additional_image_link_4	sales_count_conversions_1_day	mpid	parent_sku	membership_brand_id	base_sku	release_date
SS2044523-7576-15050	15190425	"The 24-7 Tee"	$44.95		https://fabletics-us-cdn.justfab.com/media/images/products/SS2044523-7576/SS2044523-7576-1_998x1498.jpg	"https://www.fabletics.com/products/15190425?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Top > Short-Sleeve Tees"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/SS2044523-7576/SS2044523-7576-3_998x1498.jpg		278	SS2044523-7576	257			39	15190425	SS2044523-7576	1	SS2044523	2023/07/31
FM230804-00	15190475	"The Catch-All 2-Piece Outfit"	$114.9		https://fabletics-us-cdn.justfab.com/media/images/products/FM230804/FM230804-1_998x1498.jpg	"https://www.fabletics.com/products/15260995?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Outfits"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/FM230804/FM230804-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/FM230804/FM230804-4_998x1498.jpg	448	FM230804	36		https://fabletics-us-cdn.justfab.com/media/images/products/FM230804/FM230804-5_998x1498.jpg	4	15190475	FM230804	1		2023/07/31
FM230807-00	15190765	"The Flex 2-Piece Outfit"	$109.9		https://fabletics-us-cdn.justfab.com/media/images/products/FM230807/FM230807-1_998x1498.jpg	"https://www.fabletics.com/products/15261010?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Outfits"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/FM230807/FM230807-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/FM230807/FM230807-4_998x1498.jpg	541	FM230807	4		https://fabletics-us-cdn.justfab.com/media/images/products/FM230807/FM230807-5_998x1498.jpg	0	15190765	FM230807	1		2023/07/31
SS2253711-7640-15060	15190800	"The 24-7 Polo"	$64.95		https://fabletics-us-cdn.justfab.com/media/images/products/SS2253711-7640/SS2253711-7640-1_998x1498.jpg	"https://www.fabletics.com/products/15190800?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Top > Short-Sleeve Tees"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/SS2253711-7640/SS2253711-7640-3_998x1498.jpg		1015	SS2253711-7640	46			6	15190800	SS2253711-7640	1	SS2253711	2023/07/31
FM230808-00	15191090	"The Unwind 2-Piece Outfit"	$119.9		https://fabletics-us-cdn.justfab.com/media/images/products/FM230808/FM230808-1_998x1498.jpg	"https://www.fabletics.com/products/15261015?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Outfits"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/FM230808/FM230808-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/FM230808/FM230808-4_998x1498.jpg	45	FM230808	5		https://fabletics-us-cdn.justfab.com/media/images/products/FM230808/FM230808-5_998x1498.jpg	0	15191090	FM230808	1		2023/07/31
SS2355505-7746-15050	15191160	"The Dash Short Sleeve Button Up"	$84.95		https://fabletics-us-cdn.justfab.com/media/images/products/SS2355505-7746/SS2355505-7746-1_998x1498.jpg	"https://www.fabletics.com/products/15191160?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Top > Short-Sleeve Tees"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/SS2355505-7746/SS2355505-7746-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/SS2355505-7746/SS2355505-7746-4_998x1498.jpg	362	SS2355505-7746	138			19	15191160	SS2355505-7746	1	SS2355505	2023/07/31
SS2356392-4846-15060	15191410	"The O2 Tee"	$49.95		https://fabletics-us-cdn.justfab.com/media/images/products/SS2356392-4846/SS2356392-4846-1_998x1498.jpg	"https://www.fabletics.com/products/15191410?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Top > Short-Sleeve Tees"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/SS2356392-4846/SS2356392-4846-3_998x1498.jpg		565	SS2356392-4846	437			47	15191410	SS2356392-4846	1	SS2356392	2023/07/31
LS2356243-7575-15060	15191460	"The 24-7 Long Sleeve Tee"	$49.95		https://fabletics-us-cdn.justfab.com/media/images/products/LS2356243-7575/LS2356243-7575-1_998x1498.jpg	"https://www.fabletics.com/products/15191460?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Top > Long-Sleeve Tees"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/LS2356243-7575/LS2356243-7575-3_998x1498.jpg		841	LS2356243-7575	112			23	15191460	LS2356243-7575	1	LS2356243	2023/07/31
SS2356392-6869-15060	15191510	"The O2 Tee"	$49.95		https://fabletics-us-cdn.justfab.com/media/images/products/SS2356392-6869/SS2356392-6869-1_998x1498.jpg	"https://www.fabletics.com/products/15191510?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Top > Short-Sleeve Tees"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/SS2356392-6869/SS2356392-6869-3_998x1498.jpg		836	SS2356392-6869	156			25	15191510	SS2356392-6869	1	SS2356392	2023/07/31
SS2356392-7559-15060	15191560	"The O2 Tee"	$49.95		https://fabletics-us-cdn.justfab.com/media/images/products/SS2356392-7559/SS2356392-7559-1_998x1498.jpg	"https://www.fabletics.com/products/15191560?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Mens > Top > Short-Sleeve Tees"	"Fabletics Men 1"		https://fabletics-us-cdn.justfab.com/media/images/products/SS2356392-7559/SS2356392-7559-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/SS2356392-7559/SS2356392-7559-4_998x1498.jpg	1060	SS2356392-7559	30		https://fabletics-us-cdn.justfab.com/media/images/products/SS2356392-7559/SS2356392-7559-5_998x1498.jpg	5	15191560	SS2356392-7559	1	SS2356392	2023/07/31
