id	item_group_id	title	description	price	sale_price	image_link	additional_image_link	link	availability	product_type	google_product_category	condition	mpn	brand	color	size	gender	age_group	custom_label_2	parent_sku	vip_price	sales_count_conversions_10_days	sales_count_10_days	half_price	aged_saleprice	imagecrawler_http	release_date	inventory_count	inventory2	low_stock	sales_count_conversions_1_day	additional_image_link_2	additional_image_link_3	additional_image_link_4	product_sku
DA2147496-4020-84055	11391040	"Naavah Ankle Tie Sandal"	"A heeled sandal featuring a transparent strap and wraparound ankle ties."	$62.95	$42.95	https://static3.sd-assets.com/assets/images/001/267/533/NAAVAH-DA2147496-4020_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/267/534/NAAVAH-DA2147496-4020_B_F3Q-original.jpg	https://www.shoedazzle.com/products/NAAVAH-DA2147496-4020	"in stock"	"Fashion > Shoes > Sandals > Lace-Up"		new	DA2147496-4020-84055	ShoeDazzle	"BLUE MULTI"	5.5	female	adult	"NAAVAH ANKLE TIE SANDAL"	DA2147496-4020	$42.95	41	207	$21.48	$17.18		02/26/2021	1563	46		2	https://static3.sd-assets.com/assets/images/001/267/535/NAAVAH-DA2147496-4020_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/267/536/NAAVAH-DA2147496-4020_D_FOOT-original.jpg		DA2147496-4020
DA2147358-2400-84055	11390884	"Shakala Slip On Heeled Sandal"	"A strappy slip-on sandal with a stiletto heel."	$62.95	$39.95	https://static3.sd-assets.com/assets/images/001/267/557/SHAKALA-DA2147358-2400_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/267/558/SHAKALA-DA2147358-2400_B_F3Q-original.jpg	https://www.shoedazzle.com/products/SHAKALA-DA2147358-2400	"in stock"	"Fashion > Shoes > Sandals > Mule"	187	new	DA2147358-2400-84055	ShoeDazzle	Beige	5.5	female	adult	"SHAKALA SLIP ON HEELED SANDAL"	DA2147358-2400	$39.95	60	203	$19.98	$15.98		02/26/2021	1668	44		10	https://static3.sd-assets.com/assets/images/001/267/559/SHAKALA-DA2147358-2400_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/267/560/SHAKALA-DA2147358-2400_C_CONTENT4-original.jpg	https://static3.sd-assets.com/assets/images/001/267/561/SHAKALA-DA2147358-2400_D_FOOT-original.jpg	DA2147358-2400
FA2042256-2640-84055	11499736	"Devinne T-strap Flat Sandal"	"A flat t-strap thong sandal with a side buckle closure."	$64.95	$44.95	https://static3.sd-assets.com/assets/images/001/269/692/DEVINNE-FA2042256-2640_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/269/693/DEVINNE-FA2042256-2640_B_F3Q-original.jpg	https://www.shoedazzle.com/products/DEVINNE-FA2042256-2640	"in stock"	"Fashion > Shoes > Sandals > Thong & Flip Flop"	187	new	FA2042256-2640-84055	ShoeDazzle	COGNAC	5.5	female	adult	"DEVINNE T-STRAP FLAT SANDAL"	FA2042256-2640	$44.95	59	200	$22.48	$17.98		03/30/2021	237	16	"LOW IN STOCK"	5	https://static3.sd-assets.com/assets/images/001/269/694/DEVINNE-FA2042256-2640_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/269/695/DEVINNE-FA2042256-2640_C_CONTENT3-original.jpg	https://static3.sd-assets.com/assets/images/001/269/696/DEVINNE-FA2042256-2640_C_CONTENT4-original.jpg	FA2042256-2640
FT2147208-4710-84055	11264233	"Temdy Chain Strap Flat"	"A flat featuring a chain-strap with an adjustable buckle."	$46.95	$29.95	https://static3.sd-assets.com/assets/images/001/266/081/TEMDY-FT2147208-4710_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/266/082/TEMDY-FT2147208-4710_B_F3Q-original.jpg	https://www.shoedazzle.com/products/TEMDY-FT2147208-4710	"in stock"	"Fashion > Shoes > Flats > Ballet"	187	new	FT2147208-4710-84055	ShoeDazzle	DENIM	5.5	female	adult	"TEMDY CHAIN STRAP FLAT"	FT2147208-4710	$29.95	25	199	$14.98	$11.98		01/29/2021	95	12	"LOW IN STOCK"	0	https://static3.sd-assets.com/assets/images/001/266/083/TEMDY-FT2147208-4710_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/267/172/TEMDY-FT2147208-4710_D_FOOT-original.jpg		FT2147208-4710
FA2042264-0001-84060	10210714	"Indre Jeweled Thong Sandal"	"A slip-on jelly thong sandal with a rhinestone trim and jewel embellishments."	$46.95	$32.95	https://static3.sd-assets.com/assets/images/001/250/521/INDRE-FA2042264-0001_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/250/522/INDRE-FA2042264-0001_B_F3Q-original.jpg	https://www.shoedazzle.com/products/INDRE-FA2042264-0001	"in stock"	"Fashion > Shoes > Sandals > Thong & Flip Flop"	187	new	FA2042264-0001-84060	ShoeDazzle	Black	6	female	adult	"INDRE JEWELED THONG SANDAL"	FA2042264-0001	$32.95	54	198	$16.48	$13.18		02/26/2021	2908	207		5	https://static3.sd-assets.com/assets/images/001/250/523/INDRE-FA2042264-0001_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/267/289/INDRE-FA2042264-0001_C_Content3-original.jpg	https://static3.sd-assets.com/assets/images/001/251/661/INDRE-FA2042264-0001_D_Foot-original.jpg	FA2042264-0001
SK2147662-0502-84055	11501308	"Jakalyn Flatform Sneaker"	"A slip-on flatform sneaker with a side zipper detail."	$59.95	$39.95	https://static3.sd-assets.com/assets/images/001/268/943/JAKALYN-SK2147662-0502_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/268/944/JAKALYN-SK2147662-0502_B_F3Q-original.jpg	https://www.shoedazzle.com/products/JAKALYN-SK2147662-0502	"in stock"	"Fashion > Shoes > Sneakers > Slip-On"	187	new	SK2147662-0502-84055	ShoeDazzle	LEOPARD	5.5	female	adult	"JAKALYN FLATFORM SNEAKER"	SK2147662-0502	$39.95	44	197	$19.98	$15.98		03/30/2021	680	16		5	https://static3.sd-assets.com/assets/images/001/268/945/JAKALYN-SK2147662-0502_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/268/946/JAKALYN-SK2147662-0502_C_CONTENT3-original.jpg	https://static3.sd-assets.com/assets/images/001/268/947/JAKALYN-SK2147662-0502_C_CONTENT4-original.jpg	SK2147662-0502
WE2044151-1099-84055	11501425	"Reeba Slip On Wedge"	"A slip-on silhouette with a high wedge."	$62.95	$42.95	https://static3.sd-assets.com/assets/images/001/269/048/REEBA-WE2044151-1099_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/269/049/REEBA-WE2044151-1099_B_F3Q-original.jpg	https://www.shoedazzle.com/products/REEBA-WE2044151-1099	"in stock"	"Fashion > Shoes > Sandals > Wedge"	187	new	WE2044151-1099-84055	ShoeDazzle	Beige	5.5	female	adult	"REEBA SLIP ON WEDGE"	WE2044151-1099	$42.95	92	194	$21.48	$17.18		03/30/2021	2670	90		13	https://static3.sd-assets.com/assets/images/001/269/050/REEBA-WE2044151-1099_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/269/051/REEBA-WE2044151-1099_C_CONTENT3-original.jpg	https://static3.sd-assets.com/assets/images/001/269/594/REEBA-WE2044151-1099_C_CONTENT4-original.jpg	WE2044151-1099
FA2147775-0001-84055	11500360	"Saara Woven Flat Sandal"	"A slip-on flat sandal with a woven strap."	$44.95	$29.95	https://static3.sd-assets.com/assets/images/001/268/834/SAARA-FA2147775-0001_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/268/835/SAARA-FA2147775-0001_B_F3Q-original.jpg	https://www.shoedazzle.com/products/SAARA-FA2147775-0001	"in stock"	"Fashion > Shoes > Sandals > Slide"	187	new	FA2147775-0001-84055	ShoeDazzle	Black	5.5	female	adult	"SAARA WOVEN FLAT SANDAL"	FA2147775-0001	$29.95	73	193	$14.98	$11.98		03/30/2021	1155	34		4	https://static3.sd-assets.com/assets/images/001/268/836/SAARA-FA2147775-0001_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/269/072/SAARA-FA2147775-0001_C_CONTENT4-original.jpg	https://static3.sd-assets.com/assets/images/001/268/837/SAARA-FA2147775-0001_D_FOOT-original.jpg	FA2147775-0001
FA2042256-1010-84055	10315072	"Devinne T-strap Flat Sandal"	"A flat t-strap thong sandal with a side buckle closure."	$64.95	$44.95	https://static3.sd-assets.com/assets/images/001/253/077/DEVINNE-FA2042256-1010_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/252/737/DEVINNE-FA2042256-1010_B_F3Q-original.jpg	https://www.shoedazzle.com/products/DEVINNE-FA2042256-1010	"in stock"	"Fashion > Shoes > Sandals > Thong & Flip Flop"	187	new	FA2042256-1010-84055	ShoeDazzle	White	5.5	female	adult	"DEVINNE T-STRAP FLAT SANDAL"	FA2042256-1010	$44.95	58	192	$22.48	$17.98		03/30/2021	136	15	"LOW IN STOCK"	4	https://static3.sd-assets.com/assets/images/001/252/738/DEVINNE-FA2042256-1010_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/252/739/DEVINNE-FA2042256-1010_C_CONTENT2-original.jpg	https://static3.sd-assets.com/assets/images/001/253/078/DEVINNE-FA2042256-1010_C_Content4-original.jpg	FA2042256-1010
DA2147496-0503-84055	11498839	"Naavah Ankle Tie Heeled Sandal"	"A heeled sandal featuring a transparent strap and wraparound ankle ties."	$59.95	$39.95	https://static3.sd-assets.com/assets/images/001/268/764/NAAVAH-DA2147496-0503_A_FRONT-HERO-original.jpg	https://static3.sd-assets.com/assets/images/001/268/765/NAAVAH-DA2147496-0503_B_F3Q-original.jpg	https://www.shoedazzle.com/products/NAAVAH-DA2147496-0503	"in stock"	"Fashion > Shoes > Sandals > Lace-Up"		new	DA2147496-0503-84055	ShoeDazzle	CHEETAH	5.5	female	adult	"NAAVAH ANKLE TIE HEELED SANDAL"	DA2147496-0503	$39.95	76	189	$19.98	$15.98		03/30/2021	854	39		6	https://static3.sd-assets.com/assets/images/001/268/766/NAAVAH-DA2147496-0503_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/268/767/NAAVAH-DA2147496-0503_D_FOOT-original.jpg		DA2147496-0503
