id	item_group_id	title	price	sale_price	image_link	link	availability	product_type	additional_image_link_1	additional_image_link_2	additional_image_link_3	inventory_count	product_sku	sales_count_conversions_10_days	additional_image_link_0	additional_image_link_4	sales_count_conversions_1_day	mpid	release_date	parent_sku
LG2356303-7702-17010	15200710	"Motion365+ High-Waisted Shine Legging"	$84.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2356303-7702/LG2356303-7702-1_998x1498.jpg	"https://www.fabletics.com/products/15200710?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2356303-7702/LG2356303-7702-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2356303-7702/LG2356303-7702-4_998x1498.jpg	1851	LG2356303-7702	57		https://fabletics-us-cdn.justfab.com/media/images/products/LG2356303-7702/LG2356303-7702-5_998x1498.jpg	10	15200710	07/20/2023	LG2356303-7702
CS2355681-6903-17070	14630470	"On-The-Go PowerHold® High-Waisted Capri"	$64.95		https://fabletics-us-cdn.justfab.com/media/images/products/CS2355681-6903/CS2355681-6903-1_998x1498.jpg	"https://www.fabletics.com/products/14630470?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Capris"		https://fabletics-us-cdn.justfab.com/media/images/products/CS2355681-6903/CS2355681-6903-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/CS2355681-6903/CS2355681-6903-4_998x1498.jpg	185	CS2355681-6903	55		https://fabletics-us-cdn.justfab.com/media/images/products/CS2355681-6903/CS2355681-6903-5_998x1498.jpg	9	14630470	05/31/2023	CS2355681-6903
CS1722672-0001-17020	5296051	"On-The-Go PowerHold® High-Waisted Capri"	$64.95		https://fabletics-us-cdn.justfab.com/media/images/products/CS1722672-0001/CS1722672-0001-1_998x1498.jpg	"https://www.fabletics.com/products/5296051?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Capris"	https://d28m5bx785ox17.cloudfront.net/v1/img/-Tyv1lwZAeFH552PuoR7SPGVgzFVxLj9rfPzr8LKK3I=?.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/CS1722672-0001/CS1722672-0001-3_998x1498.jpg		2338	CS1722672-0001	54			13	5296051	04/27/2023	CS1722672-0001
LG2252695-1855-50820	13729708	"Major Label Shaping High Waist Logo Legging"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2252695-1855/yitty_LG2252695-1855-1_998x1498.jpg	"https://yitty.fabletics.com/products/13729708?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2252695-1855/yitty_LG2252695-1855-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2252695-1855/yitty_LG2252695-1855-4_998x1498.jpg	15356	LG2252695-1855	53		https://fabletics-us-cdn.justfab.com/media/images/products/LG2252695-1855/yitty_LG2252695-1855-5_998x1498.jpg	4	13729708	09/28/2022	LG2252695-1855
LG2252823-0001-17030	13704385	"Sync Seamless High-Waisted 7/8 Legging"	$49.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2252823-0001/LG2252823-0001-1_998x1498.jpg	"https://www.fabletics.com/products/13704385?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2252823-0001/LG2252823-0001-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2252823-0001/LG2252823-0001-4_998x1498.jpg	8571	LG2252823-0001	47			10	13704385	04/27/2023	LG2252823-0001
LG2356794-8198-17050	15360615	"Atlantis Seamed High-Waisted Legging"	$84.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2356794-8198/LG2356794-8198-1_998x1498.jpg	"https://www.fabletics.com/products/15360615?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2356794-8198/LG2356794-8198-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2356794-8198/LG2356794-8198-4_998x1498.jpg	2886	LG2356794-8198	46		https://fabletics-us-cdn.justfab.com/media/images/products/LG2356794-8198/LG2356794-8198-5_998x1498.jpg	6	15360615	08/15/2023	LG2356794-8198
LG2253941-5510-17070	13704277	"Define PowerHold® High-Waisted 7/8 Legging"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2253941-5510/LG2253941-5510-1_998x1498.jpg	"https://www.fabletics.com/products/13704277?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2253941-5510/LG2253941-5510-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2253941-5510/LG2253941-5510-4_998x1498.jpg	5004	LG2253941-5510	45			11	13704277	04/27/2023	LG2253941-5510
CS1933469-0001-17030	7979908	"Trinity Motion365® High-Waisted Capri"	$64.95		https://fabletics-us-cdn.justfab.com/media/images/products/CS1933469-0001/CS1933469-0001-1_998x1498.jpg	"https://www.fabletics.com/products/7979908?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Capris"	https://d28m5bx785ox17.cloudfront.net/v1/img/-Q0qC4tQgdNLKSKW5X-VuYMu8VNrZFFXrwf75j4D77Q=?.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/CS1933469-0001/CS1933469-0001-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/CS1933469-0001/CS1933469-0001-4_998x1498.jpg	20812	CS1933469-0001	45		https://fabletics-us-cdn.justfab.com/media/images/products/CS1933469-0001/CS1933469-0001-5_998x1498.jpg	8	7979908	04/27/2023	CS1933469-0001
PT1510473-0001-39010	4198798	"Define PowerHold® Mid-Rise Legging"	$64.95		https://fabletics-us-cdn.justfab.com/media/images/products/PT1510471-0001/PT1510471-0001-1_998x1498.jpg	"https://www.fabletics.com/products/4198798?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"	https://d28m5bx785ox17.cloudfront.net/v1/img/-u9O4sCjWFxsANT_VlC1eD1nzqiAupdwzTo2LmrwmLc=?.jpg			7022	PT1510473-0001	41			20	4198798	09/29/2020	PT1510473-0001
LG1932432-10828-39010	14328769	"On-The-Go PowerHold® High-Waisted Legging"	$79.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG1932430-10828/LG1932430-10828-1_998x1498.jpg	"https://www.fabletics.com/products/14328769?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG1932430-10828/LG1932430-10828-3_998x1498.jpg		870	LG1932432-10828	40			5	14328769	12/01/2022	LG1932432-10828
LG1937948-6636-39030	14414470	"On-The-Go PowerHold® High-Waisted Legging"	$79.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-6636/LG1937944-6636-1_998x1498.jpg	"https://www.fabletics.com/products/14414470?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-6636/LG1937944-6636-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-6636/LG1937944-6636-4_998x1498.jpg	422	LG1937948-6636	40		https://fabletics-us-cdn.justfab.com/media/images/products/LG1937944-6636/LG1937944-6636-5_998x1498.jpg	7	14414470	03/31/2023	LG1937948-6636
LG2040267-6905-17070	14630272	"On-The-Go PowerHold® High-Waisted Legging"	$74.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2040267-6905/LG2040267-6905-1_998x1498.jpg	"https://www.fabletics.com/products/14630272?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2040267-6905/LG2040267-6905-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2040267-6905/LG2040267-6905-4_998x1498.jpg	289	LG2040267-6905	39		https://fabletics-us-cdn.justfab.com/media/images/products/LG2040267-6905/LG2040267-6905-5_998x1498.jpg	8	14630272	05/31/2023	LG2040267-6905
LG2355546-7534-17070	14556226	"PureLuxe Ultra High Waisted Ruched Legging"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2355546-7534/LG2355546-7534-1_998x1498.jpg	"https://www.fabletics.com/products/14556226?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2355546-7534/LG2355546-7534-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2355546-7534/LG2355546-7534-4_998x1498.jpg	173	LG2355546-7534	38		https://fabletics-us-cdn.justfab.com/media/images/products/LG2355546-7534/LG2355546-7534-5_998x1498.jpg	5	14556226	04/27/2023	LG2355546-7534
LG2356338-7574-17070	15201875	"Stride 9 Motion365+ High-Waisted Legging"	$94.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG2356338-7574/LG2356338-7574-1_998x1498.jpg	"https://www.fabletics.com/products/15201875?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > Full Length"		https://fabletics-us-cdn.justfab.com/media/images/products/LG2356338-7574/LG2356338-7574-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG2356338-7574/LG2356338-7574-4_998x1498.jpg	421	LG2356338-7574	38		https://fabletics-us-cdn.justfab.com/media/images/products/LG2356338-7574/LG2356338-7574-5_998x1498.jpg	5	15201875	07/20/2023	LG2356338-7574
LG1828243-7631-17030	14754490	"Define PowerHold® High-Waisted 7/8 Legging"	$69.95		https://fabletics-us-cdn.justfab.com/media/images/products/LG1828243-7631/LG1828243-7631-1_998x1498.jpg	"https://www.fabletics.com/products/14754490?utm_source=LandingPage&utm_medium=LandingPage "		"Activewear > Womens > Bottoms > Leggings > 7/8s"		https://fabletics-us-cdn.justfab.com/media/images/products/LG1828243-7631/LG1828243-7631-3_998x1498.jpg	https://fabletics-us-cdn.justfab.com/media/images/products/LG1828243-7631/LG1828243-7631-4_998x1498.jpg	94	LG1828243-7631	37			11	14754490	06/15/2023	LG1828243-7631
